"","degree.net.","betweenness.net.","round.eigen_centrality.net..vect..2."
"DASH",60,193.699838161128,1
"EOS",56,135.712015998581,0.88
"ADA",52,86.804159627061,0.93
"BTG",50,44.1031460531513,0.92
"ONT",46,143.819815698604,0.78
"SC",46,41.7409500827747,0.88
"XEM",46,37.5008175265376,0.87
"OMG",44,14.3992156261353,0.88
"WAXP",44,34.725542786517,0.84
"ZEC",44,18.7232950876455,0.86
"MANA",42,31.4700981569227,0.82
"BNT",40,277.347371319455,0.76
"DGB",40,21.2225845803172,0.78
"ICX",40,30.2934933231807,0.78
"LTC",38,83.7700964448358,0.52
"XRP",36,5.65016067053151,0.75
"IOST",34,10.2293890271745,0.7
"MIOTA",34,5.41206543243628,0.7
"TRX",34,13.8736341515132,0.68
"XLM",32,153.961453774994,0.59
"NANO",30,10.8955615562329,0.58
"ETC",28,12.246402184062,0.43
"QTUM",28,22.0475948364861,0.52
"DCR",26,11.3656326688196,0.33
"ETH",26,57.8701927080702,0.24
"BTT1",26,0.67973692973693,0.55
"HOT1",24,1.15028998778999,0.51
"XMR",24,16.9073765931721,0.26
"RVN",22,51.5624139262297,0.34
"ZIL",22,91.3829165440764,0.3
"DOGE",20,8.13892031701892,0.17
"BNB",18,3.52822726249359,0.16
"BCH",18,3.52822726249359,0.16
"WAVES",16,524.030443444888,0.1
"FTM",16,63.4826532987137,0.08
"LRC",16,17.3282268170426,0.26
"BAT",12,15.1192418692419,0.19
"ZEN",12,56,0.22
"NEO",12,0.342857142857143,0.11
"SNX",12,398.916666666667,0.01
"LUNA1",10,22.5,0
"STX1",10,57.4166666666667,0
"HBAR",8,16.9166666666667,0
"ONE2",8,16.9166666666667,0
"RUNE",8,51.3333333333333,0
"TFUEL",6,0,0.02
"LINK",6,89.3441344484229,0.01
"FTT1",6,0,0
"DAI1",6,0,0
"ALGO",6,0,0
"ANKR",6,0,0.02
"CRO",4,0,0.03
"BSV",4,0,0.02
"BTC",4,36.5898066726555,0
"ENJ",4,0,0.06
"QNT",2,0,0
"MKR",2,0,0.04
"USDC",2,0,0
"TUSD",2,0,0
"VET",2,0,0.01
