"","degree.net.","betweenness.net.","round.eigen_centrality.net..vect..2."
"ETH",56,293.236351030699,1
"LINK",46,300.472242159521,0.72
"BTC",44,200.380638179872,0.69
"FIL",40,114.54567650815,0.78
"QNT",40,122.4850530763,0.76
"XMR",40,30.3642649929746,0.8
"MANA",40,196.705697256056,0.53
"SNX",40,61.8115379537597,0.49
"KSM",40,102.192102478961,0.81
"TRX",38,90.7060632488395,0.7
"CRV",36,35.9784741708407,0.74
"ANKR",36,90.7583529205343,0.55
"XEM",36,25.7296124003625,0.7
"HNT1",36,66.2712073138307,0.6
"LRC",36,77.5167054743459,0.57
"THETA",36,21.1229808856252,0.69
"AMP1",34,22.0154857428108,0.61
"AVAX",34,19.0191435616002,0.64
"FTT1",34,74.9391924864131,0.68
"WAVES",34,45.7492578578088,0.66
"ADA",34,296.701526320286,0.42
"OMG",34,46.8231504177942,0.52
"RUNE",34,118.946777264379,0.35
"ZRX",32,301.921482329824,0.27
"SAND",30,5.82980458344446,0.63
"CCXX",28,13.9900048465408,0.51
"STX1",28,72.7861669289556,0.46
"VET",28,61.603014421634,0.25
"FTM",28,5.5285214416227,0.42
"NEO",28,14.2608625940644,0.45
"BNB",28,66.3546745891015,0.62
"MIOTA",26,163.71239238236,0.11
"CAKE",24,3.20428676287742,0.46
"SOL1",24,2.64563425905632,0.36
"YFI",24,11.6377447995814,0.38
"ATOM1",22,66.5997455755729,0.29
"BAT",22,173.444853051783,0.04
"QTUM",22,70.8983008677016,0.09
"CEL",22,10.8251733301181,0.39
"DGB",20,28.0315267405379,0.17
"LUNA1",20,86.4604566903787,0.29
"SC",20,115.997683149798,0.12
"AAVE",20,0.859775910364146,0.38
"CRO",18,10.7423768170827,0.15
"AR",18,1.29735005559223,0.26
"BNT",16,4.37789004041033,0.14
"XLM",16,46.1299364943245,0.26
"ZIL",16,14.7497251923867,0.25
"DOT1",16,4.39627877575787,0.35
"UNI3",14,0.0833333333333333,0.26
"TFUEL",14,8.95489492375609,0.24
"ICX",14,8.49255889838308,0.09
"CHZ",14,178.985850844785,0.03
"IOST",14,34.5178634430336,0.02
"DOGE",12,8.8583256852918,0.12
"ONE2",12,56.2005151132701,0.04
"ALGO",12,5.33715413018007,0.04
"ZEC",10,38.8590084592845,0.06
"CELO",10,0,0.18
"HEX",10,0.74496336996337,0.22
"BTT1",10,47.6299048322255,0.01
"NANO",10,11.4971014484111,0.02
"EOS",10,6.5,0
"ONT",8,23.9741567924244,0
"BSV",8,6,0
"ETC",8,1.5,0
"BCH",8,3,0
"ENJ",8,3.04487179487179,0.04
"MKR",8,2.06234059815215,0.02
"DASH",6,6,0
"MATIC",4,0,0
"DCR",4,0,0.05
"LTC",4,0,0.05
"HOT1",4,0,0
"XTZ",4,71,0
"RVN",4,0,0
"CTC1",4,0,0.08
"XRP",4,0,0.06
"BTG",2,0,0
"ZEN",2,0,0
"SUSHI",2,0,0
"SRM",2,0,0
"USDT",2,0,0
"TUSD",2,0,0
"HBAR",2,0,0
