"","rowname","AAVE","ADA","ALGO","AMP1","ANKR","AR","ATOM1","AVAX","AXS","BAT","BCH","BNB","BNT","BSV","BTC","BTG","BTT1","CAKE","CCXX","CEL","CELO","CHZ","COMP","CRO","CRV","CTC1","DAI1","DASH","DCR","DGB","DOGE","DOT1","EGLD","ENJ","EOS","ETC","ETH","FIL","FLOW1","FTM","FTT1","GRT2","HBAR","HEX","HNT1","HOT1","ICP1","ICX","IOST","KDA","KSM","LINK","LRC","LTC","LUNA1","MANA","MATIC","MIOTA","MKR","NANO","NEO","OMG","OMI","ONE2","ONT","QNT","QTUM","RAY","RUNE","RVN","SAND","SC","SHIB","SKL","SNX","SOL1","SRM","STX1","SUSHI","TFUEL","THETA","TRX","TUSD","UNI3","USDC","USDT","VET","WAVES","WAXP","XDC","XEM","XLM","XMR","XRP","XTZ","YFI","ZEC","ZEN","ZIL","ZRX"
"25","^RUT",0.1,0.27,0.16,0.095,0.12,0.15,0.17,0.19,0.098,0.2,0.2,0.24,0.19,0.2,0.29,0.16,0.11,0.087,0.064,0.16,0.15,0.14,0.11,0.17,0.14,0.1,0.0056,0.21,0.23,0.26,0.025,0.24,0.19,0.17,0.23,0.14,0.25,0.053,0.14,0.037,0.086,0.14,0.18,-0.057,0.25,0.037,0.038,0.15,0.13,0.066,0.15,0.25,0.15,0.21,0.24,0.14,0.15,0.2,0.12,0.29,0.22,0.13,0.04,0.14,0.17,0.08,0.16,0.1,0.066,0.19,0.051,0.19,-0.012,0.079,0.12,0.21,0.21,0.12,0.095,0.23,0.18,0.18,-0.12,0.12,-0.087,-0.031,0.25,0.17,0.15,0.16,0.2,0.25,0.17,0.18,0.21,0.086,0.22,0.17,0.25,0.17
"26","^STI",0.089,-0.064,-0.056,0.0012,0.088,-0.0058,0.044,0.13,-0.13,0.047,-0.009,-0.026,0.029,0.033,0.029,0.015,0.12,-0.022,-0.036,-0.029,-0.021,0.022,0.13,0.059,0.061,0.027,0.042,0.027,0.15,0.02,-0.07,0.016,0.037,0.059,-0.011,-0.015,0.027,-0.078,-0.13,0.028,-0.029,0.049,0.18,-0.043,-0.02,0.051,0.055,0.007,0.043,-0.022,-0.014,0.037,-0.015,0.059,0.077,0.037,0.072,0.073,0.036,0.041,0.03,-0.017,-0.058,0.057,0.068,0.14,0.018,-0.045,0.06,-0.045,0.037,0.044,0.00046,-0.047,0.16,0.072,0.041,0.028,0.12,-0.041,0.036,-0.0016,-0.013,0.064,0.07,-0.0072,0.038,-0.046,0.094,0.013,-0.0048,-0.0066,0.047,0.037,0.021,0.068,0.045,-0.054,0.071,0.0081
"27","^STOXX50E",0.18,0.19,0.15,0.2,0.15,0.16,0.23,0.18,-0.041,0.21,0.28,0.19,0.18,0.26,0.23,0.15,0.14,0.03,0.054,0.17,0.041,0.2,0.19,0.16,0.17,0.15,0.097,0.2,0.24,0.25,-0.024,0.26,0.2,0.19,0.18,0.18,0.27,0.09,-0.017,0.067,0.072,0.2,0.22,0.036,0.19,0.12,0.072,0.16,0.13,0.1,0.19,0.22,0.12,0.25,0.25,0.2,0.16,0.21,0.16,0.24,0.25,0.097,-0.015,0.11,0.24,0.16,0.18,0.024,0.11,0.12,0.11,0.15,0.00066,0.047,0.19,0.21,0.21,0.092,0.17,0.25,0.27,0.19,0.0063,0.13,0.013,0.028,0.26,0.19,0.17,0.26,0.22,0.21,0.23,0.17,0.22,0.13,0.26,0.12,0.24,0.19
"28","^TA125",0.11,0.14,0.041,0.13,0.12,0.0034,0.074,0.22,-0.041,0.044,0.13,0.058,0.033,0.13,0.14,0.079,-0.052,0.082,-0.083,0.081,-0.037,0.16,0.075,0.11,0.15,0.051,0.074,0.084,0.19,0.091,0.083,0.16,0.11,0.15,0.036,0.13,0.16,0.15,-0.038,0.12,0.12,0.13,0.15,0.0031,0.11,-0.0086,-0.02,0.11,0.16,0.029,0.12,0.11,0.033,0.15,0.14,0.11,0.16,0.083,0.092,0.19,0.19,0.15,0.022,0.21,0.16,0.13,0.13,0.092,0.067,0.074,-0.021,0.19,-0.008,0.11,0.054,0.16,0.054,0.066,0.094,0.058,0.082,0.11,0.025,0.15,0.0078,0.011,0.1,0.12,0.093,0.084,0.062,0.1,0.11,0.15,0.092,0.087,0.18,0.17,0.14,0.068
"29","^TWII",0.031,-0.0055,0.017,0.063,0.11,-0.015,0.13,0.053,-0.12,0.052,0.011,0.015,0.04,0.062,0.016,0.068,0.057,-0.1,0.036,0.038,0.061,0.1,0.084,0.045,0.064,0.097,-0.055,0.033,0.083,0.063,-0.13,0.049,0.068,0.078,-0.022,0.05,0.044,-0.01,-0.16,-0.047,-0.09,0.086,0.064,0.014,0.036,-0.018,-0.0097,0.016,0.051,0.00085,-0.0032,0.017,0.02,0.082,0.043,0.057,0.099,0.046,0.07,-0.031,0.038,0.013,-0.099,0.079,0.03,0.099,0.052,-0.11,-0.0073,-0.059,0.0057,0.03,-0.076,-0.079,0.079,0.069,0.082,0.035,0.11,0.035,0.024,0.017,-0.021,0.055,0.013,0.032,0.069,0.014,0.016,0.028,0.032,0.0083,0.078,0.053,0.07,0.063,0.083,0.063,0.073,0.062
"30","^VIX",-0.11,-0.25,-0.22,-0.11,-0.13,-0.11,-0.18,-0.14,-0.017,-0.19,-0.25,-0.18,-0.24,-0.21,-0.28,-0.19,-0.059,-0.087,0.023,-0.2,-0.15,-0.18,-0.13,-0.16,-0.16,-0.1,-0.052,-0.2,-0.18,-0.24,-0.066,-0.28,-0.082,-0.21,-0.2,-0.2,-0.26,-0.12,-0.065,-0.085,-0.12,-0.16,-0.23,-0.0061,-0.18,-0.017,0.0088,-0.2,-0.21,-0.13,-0.18,-0.25,-0.15,-0.26,-0.22,-0.19,-0.13,-0.22,-0.11,-0.23,-0.24,-0.18,-0.027,-0.13,-0.22,-0.072,-0.21,-0.096,-0.035,-0.19,-0.04,-0.23,-0.045,-0.1,-0.1,-0.22,-0.19,-0.17,-0.12,-0.24,-0.24,-0.16,0.092,-0.15,0.032,0.013,-0.27,-0.19,-0.16,-0.2,-0.18,-0.18,-0.24,-0.19,-0.21,-0.1,-0.25,-0.22,-0.23,-0.16
"31","^XAX",0.11,0.22,0.14,0.14,0.073,0.083,0.11,0.18,0.057,0.075,0.17,0.17,0.16,0.12,0.18,0.12,0.068,0.055,-0.04,0.12,0.18,0.11,0.076,0.11,0.15,0.075,0.045,0.11,0.11,0.16,0.052,0.18,0.17,0.16,0.18,0.13,0.18,0.022,0.074,0.029,0.041,0.11,0.16,-0.032,0.15,0.099,0.12,0.086,0.097,-0.02,0.15,0.17,0.11,0.18,0.19,0.09,0.12,0.11,0.12,0.15,0.13,0.099,0.058,0.12,0.11,0.15,0.14,0.053,0.14,0.12,0.12,0.092,0.035,0.057,0.14,0.17,0.16,0.16,0.11,0.14,0.15,0.11,-0.12,0.079,-0.067,-0.053,0.18,0.16,0.079,0.029,0.11,0.19,0.11,0.16,0.13,0.12,0.12,0.16,0.14,0.053
"32","000001",0.046,-0.0044,0.041,-0.084,-0.054,0.077,0.039,0.0014,0.011,0.074,0.024,0.11,0.087,0.065,0.006,0.052,0.038,0.047,-0.069,-0.021,0.18,-0.012,-0.0026,-0.0071,-0.029,0.13,-0.049,0.099,0.096,0.091,-0.098,0.024,0.057,-0.018,0.044,0.0011,0.041,-0.038,0.025,0.13,0.087,-0.013,-0.026,-0.017,-0.05,0.05,0.031,0.056,-0.015,0.012,0.015,-0.015,-0.0033,0.058,-0.009,-0.00012,0.037,0.099,0.017,0.091,0.044,0.005,0.0065,0.028,0.071,0.033,0.018,0.065,0.048,0.07,0.013,0.015,0.05,0.056,0.035,0.072,0.077,0.023,0.019,0.015,-0.031,-0.00087,0.0061,0.024,0.024,-0.017,0.076,0.007,-0.075,0.012,0.0083,0.044,0.02,0.016,0.053,0.056,0.088,0.063,0.08,-0.00075
"33","399001",0.046,0.016,0.038,-0.091,-0.05,0.044,0.025,0.0079,-0.00025,0.11,0.069,0.11,0.1,0.1,0.044,0.081,0.016,0.09,-0.077,0.00079,0.18,-0.071,0.02,-0.0017,-0.031,0.14,0.018,0.12,0.083,0.083,-0.082,0.035,0.071,-0.041,0.071,0.056,0.073,-0.018,0.039,0.18,0.14,-0.022,-0.04,-0.053,-0.031,0.052,0.051,0.067,-0.012,0.054,6e-04,0.006,0.03,0.083,-0.024,0.0052,0.028,0.087,0.029,0.074,0.069,0.037,0.057,0.0055,0.087,0.011,0.04,0.11,0.074,0.06,0.032,0.015,0.076,0.1,0.022,0.029,0.057,0.041,0.0037,-0.0015,-0.024,0.011,0.016,0.0095,0.024,0.029,0.059,0.014,-0.092,0.063,0.0073,0.072,0.037,0.039,0.078,0.043,0.098,0.048,0.088,0.014
"34","IMOEX",0.12,0.03,0.099,0.12,0.084,0.074,0.18,0.11,-0.014,0.035,0.18,0.098,0.061,0.14,0.17,0.035,0.03,0.046,-0.088,0.018,0.014,0.17,0.088,0.094,0.13,0.092,0.071,0.13,0.17,0.23,-0.11,0.17,0.081,0.11,0.09,0.066,0.15,0.054,-0.048,0.036,0.023,0.11,0.14,0.053,0.036,0.002,0.0024,0.14,0.058,0.057,0.16,0.11,0.031,0.16,0.25,0.064,0.078,0.14,0.044,0.057,0.15,0.044,-0.0091,0.15,0.14,0.13,0.042,-0.038,0.024,0.1,-0.017,0.089,-0.024,-0.042,0.1,0.18,0.15,0.017,0.15,0.17,0.16,0.13,0.01,0.098,0.015,0.028,0.15,0.054,0.054,0.14,0.12,0.074,0.06,0.066,0.068,0.084,0.13,0.12,0.1,0.11
