"","rowname","AAVE","ADA","ALGO","AMP1","ANKR","AR","ATOM1","AVAX","AXS","BAT","BCH","BNB","BNT","BSV","BTC","BTG","BTT1","CAKE","CCXX","CEL","CELO","CHZ","COMP","CRO","CRV","CTC1","DAI1","DASH","DCR","DGB","DOGE","DOT1","EGLD","ENJ","EOS","ETC","ETH","FIL","FLOW1","FTM","FTT1","GRT2","HBAR","HEX","HNT1","HOT1","ICP1","ICX","IOST","KDA","KSM","LINK","LRC","LTC","LUNA1","MANA","MATIC","MIOTA","MKR","NANO","NEO","OMG","OMI","ONE2","ONT","QNT","QTUM","RAY","RUNE","RVN","SAND","SC","SHIB","SKL","SNX","SOL1","SRM","STX1","SUSHI","TFUEL","THETA","TRX","TUSD","UNI3","USDC","USDT","VET","WAVES","WAXP","XDC","XEM","XLM","XMR","XRP","XTZ","YFI","ZEC","ZEN","ZIL","ZRX"
"23","^NYA",-0.24,0.79,0.43,0.7,-0.77,0.55,0.41,0.35,0.31,0.31,0.29,0.75,0.058,-0.19,0.14,0.64,-0.47,0.23,0.079,0.41,0.33,-0.69,-0.18,-0.66,-0.48,0.15,0.14,0.2,0.43,0.2,0.74,0.2,0.43,-0.64,0.35,0.8,0.8,-0.86,-0.029,0.33,0.32,-0.8,0.57,0.55,0.87,0.41,-0.69,0.14,0.31,0.44,0.49,0.13,-0.4,0.07,0.56,-0.29,0.81,0.31,0.41,0.39,0.35,0.42,0.27,0.61,0.13,0.55,0.58,0.16,-0.45,0.16,0.62,0.37,0.24,0.28,-0.76,0.61,0.49,0.53,-0.58,0.73,0.41,0.58,-0.88,-0.21,-0.014,-0.23,0.61,0.73,0.62,0.79,-0.53,-0.029,0.53,0.67,0.34,0.0037,0.26,0.63,0.00046,-0.039
"24","^NZ50",-0.16,0.23,0.19,0.048,-0.19,0.43,0.29,0.39,0.33,-0.34,-0.19,-0.075,-0.58,-0.24,-0.075,-0.053,-0.17,0.27,-0.21,-0.3,0.25,-0.084,-0.21,0.14,0.087,-0.52,0.23,-0.31,-0.45,-0.36,-0.052,-0.15,0.22,-0.052,-0.27,0.05,0.28,-0.17,0.16,0.25,0.27,-0.16,0.064,0.6,0.24,0.39,-0.36,-0.16,0.017,0.3,-0.25,-0.25,-0.1,-0.24,0.45,-0.046,0.13,-0.27,-0.12,-0.34,-0.25,0.28,0.29,0.16,-0.37,0.61,-0.025,0.25,-0.12,-0.38,0.55,-0.21,0.2,0.28,-0.22,0.54,0.14,0.0027,-0.092,-0.29,-0.39,0.012,-0.12,-0.093,-0.32,-0.15,-0.088,0.31,0.19,0.34,-0.5,-0.4,-0.17,0.056,0.24,-0.3,-0.31,-0.15,-0.43,-0.43
"25","^RUT",-0.19,0.39,0.36,0.29,-0.28,0.25,0.3,0.26,0.15,0.33,0.16,0.43,0.32,0.026,0.29,0.33,-0.14,0.1,-0.0021,0.26,0.32,-0.25,-0.15,-0.26,-0.13,0.36,0.028,0.25,0.44,0.27,0.34,0.36,0.34,-0.21,0.22,0.28,0.35,-0.3,-0.072,0.18,0.18,-0.29,0.39,0.12,0.39,0.13,-0.24,0.26,0.3,0.23,0.42,0.26,0.068,0.16,0.23,-0.093,0.33,0.38,0.12,0.37,0.26,0.24,0.12,0.3,0.19,0.12,0.27,0.088,-0.097,0.31,0.13,0.3,0.15,0.15,-0.33,0.24,0.3,0.29,-0.28,0.57,0.37,0.32,-0.34,-0.06,0.1,-0.11,0.35,0.27,0.37,0.26,-0.011,0.19,0.36,0.32,0.25,-0.0076,0.28,0.44,0.25,0.3
"26","^STI",-0.078,0.42,0.28,0.47,-0.41,0.33,0.23,0.09,0.2,0.63,0.35,0.72,0.43,0.13,0.32,0.67,-0.066,0.13,0.059,0.42,0.19,-0.36,0.049,-0.43,-0.26,0.49,0.06,0.34,0.6,0.43,0.56,0.31,0.32,-0.3,0.43,0.51,0.5,-0.5,-0.097,0.25,0.23,-0.42,0.6,0.12,0.64,0.1,-0.31,0.36,0.34,0.34,0.61,0.28,-0.3,0.27,0.33,-0.038,0.44,0.49,0.4,0.38,0.5,0.34,0.18,0.63,0.43,0.14,0.57,0.066,-0.22,0.41,0.21,0.62,0.21,0.18,-0.41,0.25,0.34,0.66,-0.36,0.8,0.75,0.62,-0.67,0.056,0.24,-0.13,0.69,0.43,0.57,0.49,-0.24,0.2,0.58,0.59,0.28,0.18,0.46,0.56,0.38,0.23
"27","^STOXX50E",-0.26,0.83,0.47,0.69,-0.77,0.61,0.44,0.38,0.26,0.35,0.23,0.74,0.081,-0.22,0.16,0.64,-0.44,0.18,0.13,0.37,0.33,-0.67,-0.22,-0.63,-0.48,0.19,0.14,0.18,0.44,0.19,0.68,0.21,0.47,-0.62,0.31,0.75,0.79,-0.84,-0.014,0.28,0.26,-0.78,0.63,0.6,0.89,0.45,-0.7,0.17,0.36,0.43,0.53,0.1,-0.4,0.036,0.62,-0.3,0.78,0.33,0.36,0.34,0.33,0.42,0.23,0.64,0.13,0.6,0.57,0.13,-0.46,0.22,0.65,0.39,0.21,0.22,-0.75,0.64,0.51,0.54,-0.57,0.77,0.46,0.6,-0.86,-0.23,0.034,-0.2,0.6,0.72,0.68,0.84,-0.53,-0.07,0.51,0.66,0.36,-0.053,0.23,0.59,0.015,-0.03
"28","^TA125",-0.37,0.81,0.64,0.48,-0.75,0.78,0.66,0.66,0.6,0.067,0.073,0.56,-0.19,-0.34,0.17,0.45,-0.52,0.46,-0.21,0.071,0.55,-0.65,-0.42,-0.4,-0.25,-0.12,0.37,-0.019,0.073,-0.077,0.52,0.25,0.63,-0.58,0.11,0.64,0.84,-0.79,0.11,0.55,0.53,-0.75,0.63,0.85,0.86,0.57,-0.74,0.16,0.38,0.67,0.36,0.012,-0.31,-0.098,0.8,-0.31,0.79,0.17,0.12,0.14,0.099,0.66,0.54,0.73,-0.11,0.86,0.45,0.34,-0.38,-0.017,0.81,0.15,0.46,0.49,-0.75,0.9,0.53,0.45,-0.52,0.45,0.12,0.48,-0.72,-0.3,-0.089,-0.22,0.4,0.79,0.65,0.78,-0.62,-0.21,0.3,0.54,0.54,-0.21,0.017,0.44,-0.22,-0.2
"29","^TWII",-0.41,0.5,0.23,0.6,-0.7,0.3,0.18,0.081,-0.016,0.25,0.11,0.56,0.02,-0.19,-0.06,0.48,-0.41,-0.046,0.31,0.32,0.13,-0.6,-0.16,-0.65,-0.59,0.15,-0.043,0.082,0.39,0.17,0.5,-0.026,0.21,-0.57,0.15,0.52,0.44,-0.71,-0.096,0.028,0.015,-0.68,0.37,0.37,0.59,0.043,-0.65,0.024,0.23,0.16,0.28,-0.03,-0.46,-0.072,0.27,-0.32,0.46,0.23,0.25,0.17,0.25,0.1,-0.03,0.34,0.051,0.33,0.32,-0.037,-0.58,0.094,0.39,0.32,-0.026,-0.012,-0.69,0.34,0.28,0.37,-0.68,0.65,0.38,0.43,-0.74,-0.3,0.099,-0.27,0.46,0.41,0.4,0.61,-0.44,-0.18,0.39,0.44,0.11,-0.18,0.15,0.46,-0.026,-0.054
"30","^VIX",0.2,-0.47,-0.23,-0.47,0.49,-0.29,-0.16,-0.1,-0.15,-0.37,-0.2,-0.55,-0.13,0.019,-0.19,-0.51,0.21,-0.11,-0.056,-0.42,-0.15,0.41,0.13,0.46,0.36,-0.21,0.0036,-0.17,-0.43,-0.24,-0.48,-0.14,-0.24,0.36,-0.27,-0.48,-0.47,0.55,0.12,-0.22,-0.21,0.48,-0.42,-0.19,-0.6,-0.21,0.43,-0.14,-0.18,-0.26,-0.39,-0.1,0.25,-0.1,-0.29,0.17,-0.49,-0.29,-0.27,-0.29,-0.29,-0.23,-0.14,-0.46,-0.2,-0.21,-0.41,-0.052,0.3,-0.19,-0.32,-0.4,-0.16,-0.17,0.5,-0.28,-0.22,-0.45,0.42,-0.67,-0.51,-0.46,0.61,0.11,-0.096,0.13,-0.5,-0.38,-0.46,-0.5,0.38,-0.057,-0.41,-0.49,-0.19,-0.0084,-0.27,-0.45,-0.15,-0.11
"31","^XAX",-0.34,0.7,0.5,0.59,-0.76,0.57,0.48,0.41,0.54,0.18,0.22,0.64,0.0097,-0.23,0.12,0.52,-0.54,0.43,-0.13,0.35,0.39,-0.73,-0.33,-0.61,-0.34,0.055,0.33,0.08,0.22,0.074,0.69,0.24,0.46,-0.68,0.29,0.75,0.77,-0.83,0.12,0.5,0.48,-0.79,0.57,0.57,0.77,0.34,-0.65,0.15,0.27,0.55,0.49,0.079,-0.42,0.028,0.56,-0.34,0.84,0.24,0.25,0.34,0.24,0.57,0.51,0.67,0.032,0.55,0.49,0.31,-0.39,0.046,0.53,0.23,0.41,0.46,-0.76,0.66,0.42,0.43,-0.59,0.67,0.31,0.48,-0.78,-0.28,-0.028,-0.19,0.49,0.7,0.53,0.62,-0.53,-0.057,0.41,0.55,0.41,-0.0094,0.16,0.56,-0.075,-0.12
"32","000001",-0.32,0.18,0.21,-0.092,-0.29,0.21,0.18,0.25,0.17,-0.49,-0.24,-0.21,-0.54,-0.37,-0.3,-0.24,-0.37,0.16,-0.13,-0.12,0.17,-0.3,-0.42,-0.094,-0.098,-0.5,0.081,-0.34,-0.45,-0.39,-0.038,-0.16,0.094,-0.3,-0.25,0.058,0.12,-0.23,0.058,0.15,0.15,-0.3,-0.097,0.44,0.055,0.24,-0.27,-0.26,-0.039,0.14,-0.19,-0.27,-0.1,-0.33,0.13,-0.3,0.28,-0.26,-0.26,-0.13,-0.33,0.1,0.16,-0.023,-0.44,0.41,-0.17,0.1,-0.12,-0.45,0.27,-0.41,0.096,0.15,-0.29,0.39,0.0056,-0.29,-0.22,-0.24,-0.49,-0.17,-0.025,-0.37,-0.19,-0.11,-0.27,0.11,-0.12,0.034,-0.31,-0.32,-0.28,-0.13,0.052,-0.3,-0.35,-0.067,-0.48,-0.37
"33","399001",-0.17,-0.38,-0.42,-0.13,-0.038,-0.46,-0.43,-0.34,-0.14,-0.71,-0.31,-0.56,-0.7,-0.27,-0.59,-0.53,-0.27,-0.11,-0.035,-0.1,-0.37,-0.11,-0.16,-0.11,-0.16,-0.73,-0.13,-0.49,-0.6,-0.42,-0.22,-0.6,-0.46,-0.14,-0.39,-0.18,-0.33,0.0072,-0.079,-0.097,-0.088,-0.055,-0.69,-0.15,-0.42,-0.16,-0.031,-0.63,-0.6,-0.27,-0.68,-0.42,-0.16,-0.42,-0.45,-0.19,-0.057,-0.62,-0.21,-0.27,-0.45,-0.42,-0.13,-0.56,-0.54,-0.15,-0.51,-0.078,-0.11,-0.73,-0.12,-0.59,-0.1,-0.099,-0.067,-0.24,-0.51,-0.61,-0.15,-0.55,-0.7,-0.55,0.23,-0.28,-0.25,-0.0077,-0.52,-0.36,-0.65,-0.37,-0.2,-0.35,-0.48,-0.46,-0.49,-0.25,-0.44,-0.38,-0.58,-0.46
"34","IMOEX",-0.43,0.8,0.59,0.51,-0.8,0.75,0.62,0.59,0.62,0.025,0.026,0.54,-0.2,-0.4,0.15,0.41,-0.59,0.51,-0.2,0.086,0.47,-0.7,-0.46,-0.45,-0.31,-0.14,0.41,-0.066,0.062,-0.13,0.5,0.19,0.58,-0.64,0.068,0.63,0.81,-0.83,0.2,0.54,0.52,-0.8,0.6,0.85,0.82,0.52,-0.81,0.12,0.32,0.61,0.33,-0.077,-0.42,-0.15,0.78,-0.39,0.77,0.12,0.077,0.082,0.046,0.62,0.6,0.7,-0.16,0.85,0.4,0.35,-0.48,-0.017,0.8,0.097,0.44,0.51,-0.8,0.87,0.47,0.43,-0.59,0.48,0.11,0.43,-0.72,-0.37,-0.11,-0.27,0.36,0.76,0.62,0.79,-0.63,-0.28,0.27,0.49,0.49,-0.27,-0.047,0.37,-0.27,-0.27
