"","Date","AAVE","ADA","ALGO","AMP1","ANKR","AR","ATOM1","AVAX","AXS","BAT","BCH","BNB","BNT","BSV","BTC","BTG","BTT1","CAKE","CCXX","CEL","CELO","CHZ","COMP","CRO","CRV","CTC1","DAI1","DASH","DCR","DGB","DOGE","DOT1","EGLD","ENJ","EOS","ETC","ETH","FIL","FLOW1","FTM","FTT1","GRT2","HBAR","HEX","HNT1","HOT1","ICP1","ICX","IOST","KDA","KSM","LINK","LRC","LTC","LUNA1","MANA","MATIC","MIOTA","MKR","NANO","NEO","OMG","OMI","ONE2","ONT","QNT","QTUM","RAY","RUNE","RVN","SAND","SC","SHIB","SKL","SNX","SOL1","SRM","STX1","SUSHI","TFUEL","THETA","TRX","TUSD","UNI3","USDC","USDT","VET","WAVES","WAXP","XDC","XEM","XLM","XMR","XRP","XTZ","YFI","ZEC","ZEN","ZIL","ZRX","AAPL","ACN","ADBE","AMAT","AMD","AMZN","ASML","AVGO","BABA","CRM","CSCO","FB","GOOGL","IBM","INTC","INTU","MSFT","NFLX","NOW","NVDA","ORCL","QCOM","SAP","SHOP","SNOW","SONY","SQ","TEAM","TSLA","TSM","TXN"
"1",2021-01-04,0.320503013015339,-1.95347842890397,-1.74951026595995,-1.08837443464071,1.16387855990623,-1.21082729042495,-1.49506864385238,-1.4526500013915,-0.336847609874659,-1.73405911594656,-1.05928913944277,-1.94464418249887,-1.66590281131532,-0.387458218593933,-1.46778479626573,-1.59385609272232,0.499867364983477,-0.287289876487714,-0.571292205183341,0.246692025647991,-1.89161543369716,1.03501873435101,0.121067419923166,1.08719305737613,0.828024891419961,-1.51639788434177,-0.228665789550039,-1.5910247573886,-2.20213906415731,-1.20409471402048,-1.4167886782751,-1.8292751280353,-1.72667265487769,0.968049619948638,-1.16938991678714,-1.3553154696474,-1.74182544964831,1.28401005198715,-0.103127598734973,-0.284732777647408,-0.273496550281446,1.17940590458168,-2.05795581945679,-0.768597046760844,-1.72877759558712,-0.381020177826732,0.936410485874924,-1.60331982963329,-1.91443599425836,-0.711580489087028,-1.91536204432458,-1.84563871418231,-0.488858427234204,-0.601839803120746,-1.21366228178125,0.505401608995968,-1.12453121481659,-1.77743913033855,-0.742724052793988,-2.3282899405628,-1.50507213995418,-1.11217311402355,-0.313614031888719,-1.37628267931821,-1.28501343976948,-0.700380164651955,-1.55428969572827,-0.199491364880151,0.750611844612952,-1.65704692468752,-0.765445798728373,-1.47327177996734,-0.184802662127399,-0.270988540463762,1.067857310906,-0.932977838712907,-1.71656055224265,-1.43137450016054,0.874143477280708,-1.88003285628606,-1.59519425762301,-1.51325220058672,1.49243240674921,0.20462698693381,-1.7008619554083,-0.526945140438575,-1.52239294717872,-1.50929384918461,-1.61494043188136,-1.5588740950547,-0.406128304367871,-1.92267728099226,-1.7319755210773,-1.6474401136414,-1.35571517690482,-0.18888260768827,-1.66849461969284,-2.07699925942873,-1.0285530890724,-1.68591661801481,-0.67968286030937,-1.24654625418983,-0.828170258143322,-3.11749927699895,0.0167672022598192,-0.826450022863204,-1.71888523646899,-2.3838425731651,0.503711632208844,-0.915354886278559,-2.03616570572419,-1.32317362668003,-1.97499709679195,-1.41129262765937,-1.74514131198769,-1.2575429990411,-1.64414247946383,-0.425516223517052,-0.492151109953751,-1.18003408691079,-1.40328340284646,1.01046593913405,-1.00333832573861,-1.42723449033512,0.273273896099172,-0.75229195242501,-1.04718830292306,-0.722999656774844,0.0951048551402588,-1.11360167120929,-2.56550622233722
"2",2021-01-05,0.320503013015339,-1.90123006746028,-1.65181832802674,-1.08837443464071,1.16387855990623,-1.20282423043828,-1.47085029830921,-1.41726516485081,-0.336847609874659,-1.68844862792463,-1.00077368916479,-1.93942825213988,-1.57193761497562,-0.370504913871456,-1.25627002279324,-1.58578989908338,0.499867364983477,-0.287289876487714,-0.544211062974801,0.327380786447418,-1.10219940551858,1.03501873435101,0.121067419923166,1.08719305737613,0.828024891419961,-1.51850417411923,-0.228665789550039,-1.58661956534117,-2.22895904496534,-1.21440786066723,-1.41567838282875,-1.80592698945165,-1.67473946531583,0.968049619948638,-1.11856066009178,-1.34616946307282,-1.6702959699682,1.28401005198715,-0.103127598734973,-0.284732777647408,-0.273496550281446,1.17940590458168,-2.00611976489633,-0.768597046760844,-1.70881882275799,-0.381020177826732,0.936410485874924,-1.55681257285024,-1.91668056130906,-0.706825750166275,-1.91909632436194,-1.71234204543136,0.322995890514027,-0.526775880243786,-1.21006034756869,0.505401608995968,-1.12453121481659,-1.75993254822807,-0.742724052793988,-2.29953593946667,-1.47658721724463,-1.04805798233102,-0.313614031888719,-1.37513587846211,-1.25278911284065,-0.700380164651955,-1.531214345516,-0.199491364880151,0.750611844612952,-1.63413417814896,-0.765445798728373,-1.4903439714033,-0.184802662127399,-0.270988540463762,1.067857310906,-0.938774746888726,-1.64476362206942,-1.37527738950686,0.874143477280708,-1.87315744808393,-1.53726804223249,-1.58501007024291,1.49243240674921,0.20462698693381,-0.865857331636102,3.07500885855707,-1.4571809225624,-1.48583586507945,-1.60530242951482,-1.56761064890934,-0.399612419803066,-1.64873143051174,-1.68477749237227,-1.67414640204537,-1.31203515648098,-0.18888260768827,-1.66212772303921,-2.04052241316406,-1.02595474850508,-1.56566721896254,-0.520195965691876,-1.19991951215824,-0.823368881518316,-2.90742207304429,0.0534977262339121,-0.626931133397362,-1.66726007238658,-2.2436138331861,0.875555238697769,-0.861596093257521,-2.0312768411521,-1.26908891308887,-1.93390489632896,-1.15936528120492,-1.52020871072289,-1.29579615585,-1.63667636724623,-0.4714490921386,-0.411592423776001,-1.09861099551249,-1.47558842737636,1.44199984960215,-0.914116635253222,-1.26491580091918,0.423192757686132,-0.246373736542992,-0.610948631635828,-0.681802393407293,0.150594841873963,-0.944499849427316,-2.43170728842155
"3",2021-01-06,0.320503013015339,-1.7866425453618,-1.57540094550488,-1.08837443464071,1.16387855990623,-1.18714650083212,-1.4198184808468,-1.39632712393618,-0.336847609874659,-1.62801968308085,-0.829073327184,-1.93664455330894,-1.5743223943953,-0.187459927782076,-0.959813125771632,-1.56917389531947,0.499867364983477,-0.287289876487714,-0.479906003238344,0.272018973992743,-1.28400135710087,1.03501873435101,0.121067419923166,1.08719305737613,0.828024891419961,-1.49588752323763,-0.228665789550039,-1.51177694050639,-2.0388518630936,-1.15761537975953,-1.41172342290012,-1.76624166938695,-1.60471308403363,0.968049619948638,-0.840333781151652,-1.33288422807534,-1.5421238358702,1.28401005198715,-0.103127598734973,-0.284732777647408,-0.273496550281446,1.17940590458168,-1.99664099371812,-0.768597046760844,-1.70526065434387,-0.381020177826732,0.936410485874924,-1.42941789110428,-1.89479596070648,-0.712651590164292,-1.8589577953794,-1.35249420804663,-0.214573856300037,-0.320217785265428,-1.21009890243176,0.505401608995968,-1.12453121481659,-1.70294648278303,-0.742724052793988,-1.74510566103367,-1.35629702275195,-0.98398221328598,-0.313614031888719,-1.36733200846917,-1.09442621259342,-0.700380164651955,-1.44686908771693,-0.199491364880151,0.750611844612952,-1.61970893098285,-0.765445798728373,-1.45576178515227,-0.184802662127399,-0.270988540463762,1.067857310906,-0.942805781730875,-1.66190299171559,-1.37430649222906,0.874143477280708,-1.8708238008882,-1.52046903991791,-1.52417255931461,1.49243240674921,0.20462698693381,-1.01648820526857,1.90444627031006,-1.39918561810339,-1.45144536259677,-1.58971657842516,-1.51494039918618,-0.0273844404206764,-0.2997491584368,-1.60424417127213,-1.60918993696582,-1.15991280057228,-0.18888260768827,-1.59662691896059,-1.9804658823633,-0.854969940600758,-1.53120481684242,-0.959783838867088,-1.10986173661733,-1.08922339520302,-2.81277149778043,-0.137190592918958,-1.1284182813611,-1.81308214347356,-2.37215734013841,0.496600509104385,-1.10017764244604,-1.92861255004945,-1.47317233835866,-1.98459115066343,-0.798650523744198,-1.40295742577198,-1.40217436762244,-1.83755829572375,-0.92431198300517,-0.799029453762141,-1.3195363017383,-1.51128321567462,1.3058423859815,-0.943052604156929,-1.45860114383654,-0.000817687474801928,-0.584206977124896,-0.756192666332053,-0.824984495176975,0.367464348375305,-0.495668090821202,-2.34063452584295
"4",2021-01-07,0.320503013015339,-1.83634633666624,-1.69161598282215,-1.08837443464071,1.16387855990623,-1.20203616553904,-1.46444432628061,-1.40418652177484,-0.336847609874659,-1.60749386038051,-0.853384215006262,-1.92836140174544,-1.56207245274361,-0.246335845895055,-0.693217623839514,-1.53909375396115,0.499867364983477,-0.287289876487714,-0.523218178281645,-0.144685090653794,-1.35034494697285,1.03501873435101,0.121067419923166,1.08719305737613,0.828024891419961,-1.53298000700225,-0.228665789550039,-1.44021357512014,-1.96396865950059,-1.08731760332376,-1.41697009485909,-1.81166948177812,-1.6252144993154,0.968049619948638,-0.940690255179231,-1.34751694975365,-1.51990629838303,1.28401005198715,-0.103127598734973,-0.284732777647408,-0.273496550281446,1.17940590458168,-1.99541352355272,-0.768597046760844,-1.72187139635699,-0.381020177826732,0.936410485874924,-1.50827399648299,-1.88177742477792,-0.721303994169702,-1.91020106122855,-1.50704610216946,-0.485338629414817,-0.308345531950531,-1.19901839292673,0.505401608995968,-1.12453121481659,-1.69605843337185,-0.742724052793988,-0.709938381728403,-1.2907127368634,-1.03714739858826,-0.313614031888719,-1.36733200846917,-1.14360263543156,-0.700380164651955,-1.47014831954388,-0.199491364880151,0.750611844612952,-1.62250317193588,-0.765445798728373,-1.41647383684436,-0.184802662127399,-0.270988540463762,1.067857310906,-0.934964217273376,-1.6799275974502,-1.33705294133717,0.874143477280708,-1.88678271734756,-1.58385731983451,-1.50630581926785,1.49243240674921,0.20462698693381,-4.93460713474334,-0.0547036717807376,-1.44119952842481,-1.44038360956053,-1.57761479423118,-1.51284179543061,-0.098181204263357,-0.530749869574521,-1.59281332535959,-1.40713206468947,-1.21324235861161,-0.18888260768827,-1.48616615709961,-2.03435390209075,-0.901763567237544,-1.57911891816492,-0.529166789809045,-1.0312993505305,-0.932426987636864,-2.52574281663645,0.240279443547938,-0.979593120038688,-1.70511213790962,-1.49913640354067,0.4755637191512,-1.01887339137345,-1.79172807185335,-1.32850249832386,-1.83268049298381,-0.833004875885516,-1.1421319652191,-1.29904008822804,-1.62281018775419,-0.737012140721708,-0.733829560002745,-1.11559443766721,-1.4655205949556,1.80106355464123,-1.05639005509436,-1.01354927573015,0.96949920747061,-0.431100499468851,-0.116814528331881,-0.696783116542184,0.991574797748489,0.424119602508001,-1.92237303311281
"5",2021-01-08,0.320503013015339,-1.82759936230971,-1.71091810073774,-1.08837443464071,1.16387855990623,-1.20474313316904,-1.50005710767216,-1.33198655420169,-0.336847609874659,-1.62618123127937,-0.895475914839685,-1.93516438779421,-1.57905026084634,-0.177533159681782,-0.543879570459482,-1.50003616958366,0.499867364983477,-0.287289876487714,-0.514854848057247,-0.350542340229404,-1.29373852453215,1.03501873435101,0.121067419923166,1.08719305737613,0.828024891419961,-1.49722955818283,-0.228665789550039,-1.47799698297432,-1.8216477840658,-1.12379951017642,-1.41621538754184,-1.84562334465132,-1.62107293532156,0.968049619948638,-0.98754428223936,-1.35795335635881,-1.52167853600759,1.28401005198715,-0.103127598734973,-0.284732777647408,-0.273496550281446,1.17940590458168,-1.77535628107586,-0.768597046760844,-1.7163604945024,-0.381020177826732,0.936410485874924,-1.42747050000515,-1.75479054544949,-0.716390976133963,-1.91019101490827,-1.60939588813445,-0.629783608690504,-0.23572966782807,-1.19951768256505,0.505401608995968,-1.12453121481659,-1.72605931773759,-0.742724052793988,-0.887266722357419,-1.33815263746143,-1.07294761734469,-0.313614031888719,-1.36733200846917,-1.14619116897509,-0.700380164651955,-1.47692030574942,-0.199491364880151,0.750611844612952,-1.61068006460523,-0.765445798728373,-1.43026293610293,-0.184802662127399,-0.270988540463762,1.067857310906,-0.919986769155692,-1.5804735166197,-1.42495985334464,0.874143477280708,-1.89813341961367,-1.58490225933757,-1.52100631605845,1.49243240674921,0.20462698693381,-1.00988737820318,-0.671246895657564,-1.46699087069961,-1.48245499409696,-1.52212012516161,-1.51811110522326,-0.200785384198745,-0.650528985154541,-1.60121822107544,-1.41458949276049,-1.26056973448185,-0.18888260768827,-1.47963639052311,-2.03694218396482,-0.951577808219138,-1.57919474039481,-0.416528039245962,-1.00064140512505,-0.831462439308118,-2.44879133944713,0.194951652798162,-0.851045144387252,-1.63470526202246,-1.38958288617142,0.750817395779637,-0.838493757180509,-1.76728374899293,-1.35967403953251,-1.7633376524456,-0.885680087009334,-1.27134753659937,-1.22023653918129,-1.57552282114886,-0.703343324886243,-0.448109912597792,-1.13439511197172,-1.43714764441902,1.90428077738299,-0.771841375637866,-0.832434816729204,0.859540593835705,-0.0999242278746505,-0.0167687714828139,-0.666533516039823,1.65642018697719,-0.0089072784186053,-1.56032946450624
"6",2021-01-11,0.320503013015339,-1.87452041144997,-1.80146573807024,-1.08837443464071,1.16387855990623,-1.15707006555262,-1.52537739397284,-1.29387827895405,-0.336847609874659,-1.69711712502783,-0.704916457249489,-1.96113254589896,-1.67180984179411,0.000301013327254824,-1.09147437823515,-1.46885619019254,0.499867364983477,-0.287289876487714,-0.463407714168367,-1.16097658208665,-1.56038892093004,1.03501873435101,0.121067419923166,1.08719305737613,0.828024891419961,-1.58596823525591,-0.228665789550039,-1.07314327145475,-2.08300123017895,-1.28291664853743,-1.42355202342428,-1.94933077550058,-1.69529768211858,0.968049619948638,-1.24960390696201,-1.34620888447299,-1.68209613342635,1.28401005198715,-0.103127598734973,-0.284732777647408,-0.273496550281446,1.17940590458168,-1.95028956023287,-0.768597046760844,-1.7399179665789,-0.381020177826732,0.936410485874924,-1.4625370145463,-1.65019328712421,-0.72393182146765,-1.94618158057222,-1.70999408754062,-0.873364365266384,-0.910128574887477,-1.20822004414434,0.505401608995968,-1.12453121481659,-1.72707850656686,-0.742724052793988,-1.5731958311509,-1.15471278719021,-1.15929005755474,-0.313614031888719,-1.36733200846917,-1.162914490521,-0.700380164651955,-1.47202839964868,-0.199491364880151,0.750611844612952,-1.6342913591836,-0.765445798728373,-1.47228686250627,-0.184802662127399,-0.270988540463762,1.067857310906,-0.921963338866047,-1.67400955497151,-1.42553036993654,0.874143477280708,-1.91274087825853,-1.64239638886512,-1.57431586744904,1.49243240674921,0.20462698693381,-0.418453273143902,0.270130551947516,-1.52940867035671,-1.48067683407204,-1.60300143074535,-1.54742304505776,-0.345452585710885,-0.933300613019611,-1.36611514427092,-1.50693290201911,-1.34068346174425,-0.18888260768827,-1.10099136404808,-1.69433546384536,-1.14088486352968,-1.58661579833691,-0.722545999415158,-1.12231613100764,-0.980439916607881,-2.26410767677412,0.403614991126184,-1.27968355009942,-1.64231400395144,-1.38374026965807,0.489489385999924,-1.00687750438234,-1.69395264532279,-1.64555084741242,-1.88596417596559,-0.879954818577303,-1.29766951443389,-1.24889237519829,-1.65125324336705,-0.955305203459462,-0.551238767771751,-1.03801568808435,-1.46918168840699,1.84608411783633,-0.996104333512681,-0.901947419157492,0.67422027876443,-0.124887544156766,-0.826783252518332,-0.735819772658594,0.941176519935783,0.609025096226606,-1.54346477352313
"7",2021-01-12,0.320503013015339,-1.85655457397045,-1.84771259780773,-1.08837443464071,1.16387855990623,-1.12879244758318,-1.52776238695876,-1.22342172721512,-0.336847609874659,-1.69175135354067,-0.849868020338746,-1.96280881623507,-1.68221221863686,-0.0425809628992757,-1.26354225901743,-1.45301082351985,0.499867364983477,-0.287289876487714,-0.444144279754826,-1.3460067011929,-1.54207279724648,1.03501873435101,0.121067419923166,1.08719305737613,0.828024891419961,-1.59134656211123,-0.228665789550039,-1.02719074859968,-2.19886288244881,-1.3086995151543,-1.42915428351236,-1.95056757423722,-1.71254934112688,0.968049619948638,-1.29696844536056,-1.35555214680842,-1.73799422015776,1.28401005198715,-0.103127598734973,-0.284732777647408,-0.273496550281446,1.17940590458168,-1.91393320984502,-0.768597046760844,-1.73201061507752,-0.381020177826732,0.936410485874924,-1.52296042263954,-1.66237011367505,-0.719481057245505,-1.96281543003258,-1.79820009743541,-0.82490357393957,-1.04125833552511,-1.20755062851393,0.505401608995968,-1.12453121481659,-1.74616278478632,-0.742724052793988,-1.22299139358741,-1.23994070704948,-1.18786195546486,-0.313614031888719,-1.36733200846917,-1.197097653292,-0.700380164651955,-1.50617208137287,-0.199491364880151,0.750611844612952,-1.63615999836714,-0.765445798728373,-1.48629478701335,-0.184802662127399,-0.270988540463762,1.067857310906,-0.913029503939502,-1.66571550176537,-1.44765430473408,0.874143477280708,-1.90981642908076,-1.64284584401539,-1.58740089593392,1.49243240674921,0.20462698693381,1.01445426621117,-0.0302738193903367,-1.56086885385295,-1.43085119249249,-1.5941014510209,-1.54635094277626,-0.34415647980968,-0.845460097802253,-1.37788213237238,-1.49827563724695,-1.37112735291815,-0.18888260768827,-0.883017217082756,-1.61047011137778,-1.21388478094093,-1.60973856474235,-0.740487647649496,-1.18459102675477,-1.01596943380969,-2.10635691369875,0.255909428377522,-1.23825214578519,-1.58471730309127,-1.20699369055598,0.437046378951082,-1.12816714152497,-1.58884438816189,-1.79874655684869,-1.94163916534352,-0.807811867085158,-0.890877386119783,-1.33905010007229,-1.74227286588434,-1.0634483865604,-0.705617805363781,-1.07624581608039,-1.52501214154676,1.66380696599431,-0.984048293060876,-0.836625612869368,0.678511438440258,-0.0932672588869494,-0.724198109853005,-0.685115397791468,1.33864947462971,0.672240989716001,-1.4321526661299
"8",2021-01-13,0.320503013015339,-1.81512280524876,-1.72055951749311,-1.08837443464071,1.16387855990623,-1.11207550497543,-1.47020278937621,-1.18601681479648,-0.336847609874659,-1.63158928386082,-0.624806355380215,-1.94974507421483,-1.60883474883745,0.343833767785942,-0.908309222000097,-1.42807236130912,0.499867364983477,-0.287289876487714,-0.457067013696393,-1.0037837416163,-1.45758421987527,1.03501873435101,0.121067419923166,1.08719305737613,0.828024891419961,-1.53959984352031,-0.228665789550039,-0.950826278159944,-2.03396302916169,-1.22524718426498,-1.4251412618964,-1.67954417942153,-1.6621974153125,0.968049619948638,-1.19267053572015,-1.33283452364013,-1.63351794903,1.28401005198715,-0.103127598734973,-0.284732777647408,-0.273496550281446,1.17940590458168,-1.85571629191256,-0.768597046760844,-1.72010758861196,-0.381020177826732,0.936410485874924,-1.43161889637562,-1.52466534110282,-0.716044734706995,-1.84508615028512,-1.52106312472885,-0.195828541598776,-0.748223736906699,-1.20193849608464,0.505401608995968,-1.12453121481659,-1.63077550377826,-0.742724052793988,-1.16764644326037,-1.18093742761486,-1.11303429017093,-0.313614031888719,-1.36733200846917,-1.10488515568676,-0.700380164651955,-1.46272420278656,-0.199491364880151,0.750611844612952,-1.6098592556137,-0.765445798728373,-1.46604891602424,-0.184802662127399,-0.270988540463762,1.067857310906,-0.914790713116468,-1.57706003415945,-1.31151686064523,0.874143477280708,-1.88552727345239,-1.545970571871,-1.53447908341584,1.49243240674921,0.20462698693381,-0.72856012867597,-0.719692535142849,-1.49336513416925,-1.38936355333529,-1.57114600737621,-1.53501394259747,-0.235206330666619,-0.639568441019874,-1.17245924865602,-1.46207271952527,-1.23770971666267,-0.18888260768827,-0.530010880459218,-1.59309070457587,-1.02626566246585,-1.42643870069693,-0.532157064514768,-1.22674631081134,-1.01048232565519,-2.25718173853863,-0.0238717122902203,-0.956249374828749,-1.58346514977993,-1.11837819691245,0.724447602575119,-1.00998782534958,-1.69395264532279,-1.7840929728998,-1.91265052112434,-1.07004561056697,-0.00311400593959237,-1.34864742086419,-1.69214108521443,-0.761539565827093,-0.572396985872038,-1.0631062891608,-1.55796093518594,1.98992875465903,-1.14561358535396,-0.765264727167631,0.764332176591754,-0.11656601550039,-0.551530723111701,-0.747343524191661,1.39029467567842,0.0764339969306485,-1.53222050244446
"9",2021-01-14,0.320503013015339,-1.82012622773106,-1.71360463260209,-1.08837443464071,1.16387855990623,-1.12053549863959,-1.44636130893661,-1.14257642984097,-0.336847609874659,-1.64363537126994,-0.473736317735794,-1.93904697276836,-1.53254101613654,0.477366575310268,-0.712449548145626,-1.42613575116996,0.499867364983477,-0.287289876487714,-0.432334393370055,-0.66829406433563,-1.457072299463,1.03501873435101,0.121067419923166,1.08719305737613,0.828024891419961,-1.52301666371059,-0.228665789550039,-0.957853074162503,-1.95279320581611,-1.23338551409636,-1.41947369508213,-1.31919357399663,-1.61435688560182,0.968049619948638,-1.17639511293097,-1.32680853493905,-1.52855245734465,1.28401005198715,-0.103127598734973,-0.284732777647408,-0.273496550281446,1.17940590458168,-1.81700240621192,-0.768597046760844,-1.71576183764241,-0.381020177826732,0.936410485874924,-1.47498047118897,-1.41310994843767,-0.721805821112292,-1.75279801503945,-1.26017303913937,-0.248400456778634,-0.655802336540775,-1.201156592549,0.505401608995968,-1.12453121481659,-1.614281837228,-0.742724052793988,-1.28949751421772,-1.19074333402415,-1.11997914174804,-0.313614031888719,-1.36733200846917,-1.09792776559462,-0.700380164651955,-1.44811367248648,-0.199491364880151,0.750611844612952,-1.61132622438836,-0.765445798728373,-1.45740338220167,-0.184802662127399,-0.270988540463762,1.067857310906,-0.918956435231191,-1.56303355249317,-1.39969619718637,0.874143477280708,-1.88069749819919,-1.52098447451189,-1.54048852441092,1.49243240674921,0.20462698693381,-0.0551437514647831,-2.54851542571253,-1.50253180210815,-1.38412599925456,-1.55920700624019,-1.54130974324206,-0.247876950509207,-0.652525216531766,-1.29972840295141,-1.48935739897247,-1.20911454156664,-0.18888260768827,-0.675891733885536,-1.65704078848709,-1.05744674208044,-1.44083492433489,-0.72952280006376,-1.2931720216229,-1.13092617072834,-1.66080779032141,-0.101241150814353,-1.19669697897836,-1.28883465135168,-1.07650363537567,0.951998116685656,-1.12461277953038,-1.74528432464633,-1.94394936535503,-1.96085682208053,-0.835294983258327,0.547251385159948,-1.34121285915903,-1.81018128505403,-0.916062003757627,-0.687907196361669,-1.15578171615696,-1.60006281159466,2.36656170516383,-1.38193350356769,-0.894429412224302,0.957698722975839,-0.194783813997086,-0.456563737895161,-0.846735414095145,1.29251141216608,1.21747550885842,-1.49848940484334
"10",2021-01-15,0.320503013015339,-1.83237542611116,-1.63039049730883,-1.08837443464071,1.16387855990623,-1.12764383572512,-1.28133506624363,-1.13608655331763,-0.336847609874659,-1.63558508970817,-0.640607949470912,-1.94469176856712,-1.50963243430669,0.2853989674915,-0.959708033289085,-1.45544441786087,0.499867364983477,-0.287289876487714,-0.437501758730842,-1.30669593344403,-1.51473039971372,1.03501873435101,0.121067419923166,1.08719305737613,0.828024891419961,-1.49857479661058,-0.228665789550039,-1.07603145683395,-1.97546710531091,-1.2409274272869,-1.41967688733327,-1.45268157158629,-1.62489043859188,0.968049619948638,-1.19613442301641,-1.33272786271966,-1.58433996182402,1.28401005198715,-0.103127598734973,-0.284732777647408,-0.273496550281446,1.17940590458168,-1.83572612571774,-0.768597046760844,-1.69862069191406,-0.381020177826732,0.936410485874924,-1.45751179650267,-0.838161716625793,-0.718998125701453,-1.78975987150591,-0.863439274034598,-0.354265657610526,-0.811323774374555,-1.20422921352935,0.505401608995968,-1.12453121481659,-1.59903232763058,-0.742724052793988,-1.38384819232674,-1.16766898766036,-1.01304967310382,-0.313614031888719,-1.36733200846917,-0.974774298353734,-0.700380164651955,-1.45898082811171,-0.199491364880151,0.750611844612952,-1.60811286111728,-0.765445798728373,-1.45269756918409,-0.184802662127399,-0.270988540463762,1.067857310906,-0.919451527140296,-1.55905727093033,-1.43612697040088,0.874143477280708,-1.89186357312645,-1.5639385232455,-1.54759648866828,1.49243240674921,0.20462698693381,-0.121680088283924,-1.0184406453021,-1.50940681242321,-1.38751107154693,-1.54839681221107,-1.55269235485041,-0.338979127216619,-0.815905793111864,-1.38367052768549,-1.52979746804608,-1.08728157186275,-0.18888260768827,-0.807962625001422,-1.70909092394297,-1.11758782728332,-1.40731026580052,-0.905956612672691,-1.33628533601718,-1.20212251889366,-1.86549900144972,-0.302871174842772,-1.34201706427566,-1.45401659986862,-1.37935830727306,0.966220362894578,-1.23390720760713,-1.67684208554828,-1.79155290535817,-1.97059862092224,-0.901711752468732,0.14763855895669,-1.26686971713209,-1.82333676791732,-0.980278334306116,-0.696997826012045,-1.25104307303386,-1.58358824020453,1.95369281419679,-1.51456190706997,-0.946132447497971,0.623531722395295,-0.422778970812478,-0.7125178649923,-0.847311722560301,1.09673621894369,1.02466878204294,-1.78182822280389
