"","Date","ADA","ALGO","ANKR","ATOM1","BAT","BCH","BNB","BNT","BSV","BTC","BTG","BTT1","CEL","CHZ","CRO","DAI1","DASH","DCR","DGB","DOGE","ENJ","EOS","ETC","ETH","FIL","FTM","FTT1","HBAR","HEX","HOT1","ICX","IOST","KSM","LINK","LRC","LTC","LUNA1","MANA","MATIC","MIOTA","MKR","NANO","NEO","OMG","ONE2","ONT","QNT","QTUM","RUNE","RVN","SC","SNX","STX1","TFUEL","THETA","TRX","TUSD","USDC","USDT","VET","WAVES","WAXP","XEM","XLM","XMR","XRP","XTZ","ZEC","ZEN","ZIL","ZRX","AAPL","ACN","ADBE","AMAT","AMD","AMZN","ASML","AVGO","BABA","CRM","CSCO","FB","GOOGL","IBM","INTC","INTU","MSFT","NFLX","NOW","NVDA","ORCL","QCOM","SAP","SNOW","SONY","SQ","TEAM","TSLA","TSM","TXN"
"1",2019-01-02,-0.546997219561032,0.591740370794046,1.39829689076699,1.43133166006721,-1.20549076459905,-0.939828131785092,-1.68490849498144,1.23800780200642,-0.304567823314043,-1.30822099211599,-0.123855933023536,-0.704397386198584,-1.11727314793015,-0.300761022493021,-1.08470666374166,-0.314921487088314,-0.362022494630264,-0.707848432632529,0.244103316876255,-0.345191852343561,-1.14031460020641,-0.811344558549828,-0.0765476026645164,-0.533183764687427,-0.825549028551829,-0.939810865283209,-0.355916357029168,0.621410201065977,0.0863274180856705,-1.63621414485965,0.0160972174871285,-0.814745555027529,0.188768721163654,-1.31096241246982,-0.283076537725483,-1.32481950149998,0.571097812663607,0.569985755763871,-1.06287645515843,1.38320524493868,-0.699043527761545,-0.382938256532105,-0.835857191694107,0.260714580063347,0.602670540740757,-0.870794268631988,-1.17035886561068,-0.150989022993125,-0.352746062450069,-1.323726551704,0.571323089959866,-0.847370981860971,0.376554485552307,1.42478337486766,-2.13958215922116,-0.366561613692833,1.93944298209002,2.23109204274852,3.49766022923732,-0.851909898289226,1.59180507236978,-0.421969214860294,0.677965291260172,1.25130688062297,-0.826898493619944,1.0896753108566,-1.41536421123058,0.234415357136431,-0.420714800998825,1.09935389541027,1.25200224403533,-1.45736663159926,-2.48163970375903,-2.51706973061957,-1.73038842149778,-1.86230713241378,-2.46816890127592,-1.68344853805439,-1.69171587520683,-2.59461975258009,-3.01071246008991,-1.7278385704414,-2.86305951681396,-1.71117284705045,-3.53020010155866,-0.980477257330303,-3.08161636744626,-1.96382753210999,-1.77480531182608,-2.8229269753243,-1.53544968736432,-3.36326872305558,-1.15759294989035,-2.01341765520041,-1.92444572258856,-0.748298286336502,-1.73023719773684,-2.24460749063486,0.689979421081643,-1.19633349615357,-2.23042007070544
"2",2019-01-03,-0.686164941810251,0.591740370794046,1.39829689076699,1.43133166006721,-1.25746637267281,-1.04274147766034,-1.71945697873475,1.0614812399402,-0.436752833727097,-1.34853335409861,-0.195333085208778,-0.704397386198584,-0.97944734153515,-0.300761022493021,-1.08549941129166,-0.314921487088314,-0.45375355426104,-0.742387939638151,0.266765382851195,-0.450822672949218,-1.18172200702174,-0.959971487414707,-0.318778182620947,-0.651194617149851,-0.83141603916406,-1.01636051071522,-0.355916357029168,0.621410201065977,0.0863274180856705,-1.6235080907389,0.0628263272418985,-0.899009006017006,0.188768721163654,-1.25786236316647,-0.37003861223374,-1.37640518766578,0.571097812663607,0.320572782016423,-1.06287645515843,1.16240708583636,-0.650566564019801,-0.518710566436005,-0.99492387959996,0.142144519519039,0.602670540740757,-0.99028696768506,-1.13189212601949,-0.356606615313387,-0.352746062450069,-1.3727571291432,0.449222103956734,-0.864275647326697,0.376554485552307,1.42478337486766,-2.04165592672233,-0.388170948156015,1.14009954939655,1.43405311650277,2.66810643026532,-0.977085624354267,1.53343397884639,-0.460501150014459,0.549010016366151,1.03380719494266,-0.96891551703886,0.839700516791369,-1.42401785940561,0.0903176681641179,-0.531991528287361,0.960659223790807,1.10297228625072,-1.91279399619614,-2.7722368537684,-2.92483755642946,-1.99329820634047,-2.1606499128026,-2.8516313017725,-1.91721028062306,-2.80429731456922,-3.0061804674471,-3.80362254472768,-2.15406314978647,-3.10851273112465,-2.0772534105867,-3.90301880538211,-1.57170430845847,-3.38085187701068,-2.21348358804005,-1.67216551353587,-3.16225266848061,-1.86480894444232,-3.53435161380761,-1.29485093273964,-2.3461086031822,-2.02949616670265,-1.00000504392089,-2.46291776791181,-2.57044944058138,0.505933613138307,-1.55002294202082,-2.8159917394488
"3",2019-01-04,-0.625117025679431,0.591740370794046,1.39829689076699,1.43133166006721,-1.17272767700009,-1.04962833228346,-1.69987238516494,1.1670628572595,-0.457894109460409,-1.34060592271254,-0.192929903792678,-0.704397386198584,-1.03761028927529,-0.300761022493021,-1.07920416017641,-0.314921487088314,-0.443931036304959,-0.679495254405373,0.295371665343387,-0.551959043763641,-1.18744214728902,-0.930973684381131,-0.206470163495532,-0.542479533255402,-0.722441269904553,-1.02526162745743,-0.355916357029168,0.621410201065977,0.0863274180856705,-1.68195583615227,0.225651382303583,-0.869802197329709,0.188768721163654,-1.18145988593838,-0.355741032610972,-1.36256567473905,0.571097812663607,0.458078041358145,-1.06287645515843,1.13141094627974,-0.683840003736526,-0.484687665267499,-1.01280430783639,0.170230036740833,0.602670540740757,-0.97581356709523,-0.987573717382652,-0.298358416838365,-0.352746062450069,-1.36983434641392,0.445922056541861,-0.867626782640994,0.376554485552307,1.42478337486766,-2.10417157664663,-0.161757592624399,0.435499594319889,0.494637080617136,2.25269771388232,-0.947182464075417,1.51319528780115,-0.432486005445955,0.557448689144903,1.09448259166024,-0.921392745832922,0.781829541962721,-1.42158614135242,0.095412963460799,-0.534109205027527,1.0660552679112,1.14265407104246,-1.73705075141936,-2.45257934211009,-2.44259609882458,-1.70057372327899,-1.83381371900761,-2.11027033951237,-1.74392267491193,-2.69229957570768,-2.38883888039843,-2.63966142890023,-1.73464061072813,-2.72164285240633,-1.41803485583824,-3.18817883465795,-0.948519179559966,-3.00467011548371,-1.90946712097194,-0.90758798627977,-2.78936371054027,-1.53665021854687,-2.78392388821024,-1.22218515923012,-2.05276840286444,-1.91825849757696,-0.675747863888782,-1.5800225044898,-2.38353821907073,0.832728083946769,-1.4501383155879,-2.39337042182687
"4",2019-01-07,-0.399077602751189,0.591740370794046,1.39829689076699,1.43133166006721,-1.17907170330321,-1.05122461139025,-1.67245045223341,1.13495355825796,-0.433766519445826,-1.27729220884583,-0.141877623728782,-0.704397386198584,-1.08222678407074,-0.300761022493021,-1.03173354746253,-0.314921487088314,-0.381353989030466,-0.582341128382831,0.768676272571178,-0.619383116546856,-1.18870146868954,-0.897437553509876,-0.444603339147681,-0.600015659763252,-0.704649492325056,-1.08905297562352,-0.355916357029168,0.621410201065977,0.0863274180856705,-1.38971710908463,0.253734871573799,-0.635140510247715,0.188768721163654,-1.24659531876645,-0.0182484519910625,-1.16450249760158,0.571097812663607,0.417510354551359,-1.06287645515843,0.998734879985498,-0.739423242346436,-0.402124121296063,-0.677848359111085,0.190073359913626,0.602670540740757,-0.923467883499391,-0.993360661235826,-0.257287047549214,-0.352746062450069,-1.27696258354977,0.620823417009378,-0.867619209485734,0.376554485552307,1.42478337486766,-2.09700031937989,0.17834589550153,-0.0557271172238552,0.00871084828314048,1.66547837509431,-0.890157847907954,1.35343779590313,-0.462887378982806,0.557731820773216,1.40493108232976,-0.793423619236294,0.908323373014267,-1.42592794555515,0.209284112601272,-0.437128208596067,1.31445717557983,1.16143383153211,-1.74660522726491,-2.42291482646157,-2.30146390881448,-1.61926156791694,-1.57066883503221,-1.57608768097779,-1.64846585644316,-2.45794193944239,-2.16281708104383,-1.98378053565697,-1.66889303200241,-2.7154126748903,-1.44497888955897,-3.05364055226761,-0.898299716260428,-2.85429763208072,-1.90074276857403,-0.392360956503571,-2.51495277186941,-1.24811115893852,-2.49619451582576,-1.23510353949838,-1.96601826314319,-1.83311529497999,-0.600235554206217,-1.19069022224966,-1.98106909906887,1.15839102758276,-1.40756485782601,-2.22516327141203
"5",2019-01-08,-0.370498398333836,0.591740370794046,1.39829689076699,1.43133166006721,-1.14208770206067,-1.0441866249994,-1.63019852318725,1.07419690496923,-0.459321897039555,-1.27517598814644,-0.127607038824207,-0.704397386198584,-1.18395736708362,-0.300761022493021,-1.17218683794283,-0.314921487088314,-0.429873813763384,-0.713279010583264,0.53425305015128,-0.639609972085972,-1.18372834979855,-0.876241735904418,-0.393897037740966,-0.626752376938862,-0.706200090995852,-1.10537167813727,-0.355916357029168,0.621410201065977,0.0863274180856705,-1.0110774506634,0.233613092591851,-0.448485411364536,0.188768721163654,-1.19538490529677,-0.229063775754292,-1.10314729099188,0.571097812663607,0.389510275003858,-1.06287645515843,0.932047247130422,-0.772396697229757,-0.28960154652957,-0.395644256449985,0.207854048998752,0.602670540740757,-0.878757892462265,-1.08320175645149,-0.257408542042712,-0.352746062450069,-1.25417711068541,0.658773578106999,-0.869470286192003,0.376554485552307,1.42478337486766,-2.13808309733971,0.619400278736667,0.525979615444006,0.452670254340294,2.64564425023748,-0.74690136713745,1.27692157161725,-0.445433141264003,0.518087907398442,1.40094134786443,-0.774278066429692,0.92443433018742,-1.41624990042061,0.215375936422796,-0.497668695174644,1.52956073264033,1.1902275043599,-1.66495812919454,-2.20617781235658,-2.14424140754192,-1.80763512418274,-1.54049930087424,-1.3088981543755,-1.6799234145682,-2.55217780628371,-1.91385707415449,-1.44491056231128,-1.58954223755261,-2.43631802293964,-1.32654569477946,-2.78132099461202,-0.829817125847064,-2.61440673708716,-1.85107965240037,-0.249419647918242,-2.46184090466955,-1.39097986548086,-2.32900068163108,-1.27466594432058,-1.82650296843591,-1.81899197796535,-0.575065160855029,-0.822817683088995,-1.82996417489991,1.16574559453212,-1.45505109410364,-2.23777910847125
"6",2019-01-09,-0.173632493961691,0.591740370794046,1.39829689076699,1.43133166006721,-1.12988843324862,-1.06342613267227,-1.63001724321573,1.09417473753105,-0.47070767475332,-1.27349480322476,-0.137642084292766,-0.704397386198584,-1.11084943277167,-0.300761022493021,-1.16985523772017,-0.314921487088314,-0.309534486739219,-0.594394838465683,0.529794887763285,-0.662084837440187,-1.17634329408705,-0.793391262859367,-0.397401617532601,-0.617900946291166,-0.769090183507501,-1.1038881471666,-0.355916357029168,0.621410201065977,0.0863274180856705,-1.17371455882452,0.359535889789631,-0.43505688576527,0.188768721163654,-1.21941377921987,-0.177404207326404,-1.12126603037924,0.571097812663607,0.526183821546979,-1.06287645515843,1.02221037278334,-0.740928727207926,-0.143741499987125,-0.385357854601455,0.264542074415217,0.602670540740757,-0.636979825011446,-1.06164401233793,-0.0401935215072167,-0.352746062450069,-1.26032082064748,0.652173483277419,-0.84394661742798,0.376554485552307,1.42478337486766,-2.13147904451825,0.95515012021175,0.397146705784644,-0.527844328657831,2.18507151911372,-0.477077984276267,1.24928239497939,-0.469515518428895,0.541704292055372,1.42681546456925,-0.800010870229804,1.01722411819705,-1.38650125400832,0.199395296882175,-0.500035640955422,1.59630667807302,1.21103633986938,-1.59083904094561,-2.16198311588359,-2.0178197379558,-1.61926156791694,-1.63435982516446,-1.28086552620174,-1.50392420723658,-2.04843265603088,-1.56774041093577,-1.40333993513864,-1.6439542355996,-2.33041165930847,-1.3731668896242,-2.64191886969691,-0.768184187742734,-2.66972715553464,-1.75242570567419,-0.258407786359366,-2.37479658071259,-1.28092669567244,-2.36788383100222,-1.22137758721421,-1.70308496251504,-1.77621872641231,-0.569142516014338,-0.392099630558618,-1.75906677733594,1.22571149926932,-1.34534153527732,-2.04223804546558
"7",2019-01-10,-0.586381348857115,0.591740370794046,1.39829689076699,1.43133166006721,-1.33837054126344,-1.32780714948101,-1.71795617473718,0.515625722403464,-0.70626854604246,-1.40817588269291,-0.306399667590446,-0.704397386198584,-1.29080087573506,-0.300761022493021,-1.25924731715533,-0.314921487088314,-0.660544097957285,-1.07982736952389,-0.0181833339693269,-0.963245940068584,-1.3019528513051,-1.13675646284265,-0.78525487296131,-1.06054952973414,-1.13101022954225,-1.19467955175343,-0.355916357029168,0.621410201065977,0.0863274180856705,-1.36684622645881,-0.146956931918723,-0.906730330072878,0.188768721163654,-1.27006298469408,-0.494480159874541,-1.30896862905795,0.571097812663607,-0.1835209093709,-1.06287645515843,0.213097574246068,-1.26822684862182,-0.619874383711057,-0.879263630680701,-0.20811466316498,0.602670540740757,-1.02318940526521,-1.15572305191881,-0.439576139496159,-0.352746062450069,-1.4066371106091,0.213270634660571,-0.872020887253198,0.376554485552307,1.42478337486766,-2.37291177498512,0.540542623482838,1.16332992131222,1.3520214087852,3.39678739361277,-0.965263542611436,0.957413367668303,-0.631243437816853,0.0707376139198874,0.877931188987247,-1.22061016946722,0.380794683318928,-1.50362939827604,-0.0732139123865207,-0.761576590019779,1.07215019127252,0.47599198799147,-1.57665201163835,-2.09236037202205,-1.91024585690011,-1.55692221434136,-1.70978366055941,-1.31245133156472,-1.51233087571239,-1.88857580784888,-1.58325800898662,-1.24168082256425,-1.66209099171568,-2.33228052244496,-1.40850989819883,-2.46361376603456,-0.64263335251311,-2.49873565503799,-1.79739050283833,-0.122134582843174,-2.39213171966789,-1.17487570357024,-2.35233057125376,-1.20603710689518,-1.6413766418744,-1.78092636192253,-0.692034854793435,-0.366042248182288,-1.78126684559851,1.3471517718592,-1.2127083834759,-1.886645930035
"8",2019-01-11,-0.607018721161674,0.591740370794046,1.39829689076699,1.43133166006721,-1.28482484228865,-1.36252280714185,-1.69863572868086,0.504840404908888,-0.72514022938624,-1.40498586636658,-0.273525854626661,-0.704397386198584,-1.3104216953149,-0.300761022493021,-1.26400362874052,-0.314921487088314,-0.660522927777018,-0.969787544568663,0.00893689439357067,-0.969988399674916,-1.27747122345221,-1.15058950466571,-0.747268114934371,-1.08204251126111,-1.11295086052887,-1.18652023503744,-0.355916357029168,0.621410201065977,0.0863274180856705,-1.318563383509,-0.139979100019252,-0.693554127622309,0.188768721163654,-1.17392919673581,-0.399633922572614,-1.36537187161793,0.571097812663607,-0.154873980341377,-1.06287645515843,0.251100593594061,-1.28363172832038,-0.579718261084417,-0.888012705236071,-0.167574553012531,0.602670540740757,-0.888023287309842,-1.13959298023115,-0.411575085512648,-0.352746062450069,-1.40633885500273,0.203370492416118,-0.85451518608152,0.376554485552307,1.42478337486766,-2.31177368625615,0.424594566100713,1.18289809342,1.63487368322873,3.37046895183427,-1.0083796368282,0.931520566643436,-0.679850177851659,0.178341768160811,0.777318715088126,-1.2026261050837,0.384989087686421,-1.51197065031877,-0.00855351652157015,-0.77906740501685,1.02428322388008,0.463912390750709,-1.62037101703325,-2.14018830653832,-1.92035964658457,-1.55421174023328,-1.62095117883728,-1.46701996123459,-1.52833069079833,-1.83677028505282,-1.60822123578533,-1.16315826576186,-1.6054122234727,-2.35719933132584,-1.58847897012739,-2.5171056852058,-0.55817259400689,-2.49420958548503,-1.85107965240037,0.252760512266072,-2.32979905782341,-1.03080585519876,-2.16958347731063,-1.14951907772212,-1.76300492295267,-1.76532366064849,-0.709802224501008,-0.346115051535099,-1.77052468321147,1.39033467566763,-1.18159640988252,-1.79518371809925
"9",2019-01-14,-0.611772831756147,0.591740370794046,1.39829689076699,1.43133166006721,-1.3360541394456,-1.33819541076548,-1.68846307334556,0.510343746199446,-0.612043938957463,-1.39792370868642,-0.295336489034108,-0.704397386198584,-1.26274636605853,-0.300761022493021,-1.34029231295922,-0.314921487088314,-0.683995755125534,-1.04865596257655,0.0115374026208036,-0.848624650041497,-1.27642539352539,-1.10580781978252,-0.841439262262633,-1.0516968808879,-1.28545533109322,-1.2210861957859,-0.355916357029168,0.621410201065977,0.0863274180856705,-1.17879701005618,-0.253226877620276,-0.635811936527683,0.188768721163654,-1.12943290827947,-0.374686695531003,-1.36424947678375,0.571097812663607,-0.228708802084129,-1.06287645515843,0.168401123993273,-1.01393277836104,-0.681069997607577,-0.881410847847709,-0.185349680563211,0.602670540740757,-0.975096136792294,-1.11782686841294,-0.368383170025444,-0.352746062450069,-1.40401263903761,0.142319999414386,-0.856361210881734,0.376554485552307,1.42478337486766,-2.3106392773656,0.512160415783604,0.280685107914097,0.396128742090407,2.92087676264459,-0.982649033134602,1.10934267861976,-0.677022127791213,0.162427745267134,0.868845684196397,-1.19622580371006,0.399336172824236,-1.60195846963967,-0.00917068157654022,-0.814150155488195,1.05877109796452,0.464731675552317,-1.68667272653862,-2.21889183605086,-2.05781473259093,-1.67889044738444,-1.62765566184454,-1.69749332354826,-1.61863534204951,-1.8219693524068,-1.74653303705473,-1.39410254005287,-1.66889303200241,-2.25814578272565,-1.75090198693767,-2.6905469463434,-0.690571339960927,-2.5445012935594,-1.90141351812748,0.11793755081574,-2.45114503051055,-0.966374702266878,-2.21235419999864,-1.16566713005706,-1.84081189701932,-1.76976222391065,-0.792717557827187,-0.50705990868099,-1.90945541164734,1.14783106643089,-1.32078014125095,-2.03277596715242
"10",2019-01-15,-0.67924972548538,0.591740370794046,1.39829689076699,1.43133166006721,-1.39041057905663,-1.3960843384659,-1.71757697194052,0.334924009565928,-0.674058724855469,-1.42641038655584,-0.343272770440199,-0.704397386198584,-1.36827875960895,-0.300761022493021,-1.36696539737945,-0.314921487088314,-0.749907217214149,-1.07513965191406,-0.0274712587766721,-1.01044263403303,-1.26818661045706,-1.1602139695549,-0.942614533858373,-1.19212837307138,-1.23289603643321,-1.26633357952314,-0.355916357029168,0.621410201065977,0.0863274180856705,-1.30585725542948,-0.346673676504027,-0.759689069052742,0.188768721163654,-1.09387725257307,-0.371980172256714,-1.39545694835393,0.571097812663607,-0.353831317483146,-1.06287645515843,0.0967757142412112,-1.37506652020551,-0.741839760735295,-1.01775465066028,-0.286953353357531,0.602670540740757,-1.03847000711315,-1.19127274087675,-0.496228710289907,-0.352746062450069,-1.44427492384041,-0.0424811191244992,-0.860401766738844,0.376554485552307,1.42478337486766,-2.32230772027668,0.332674769391164,1.1323014323927,1.17253570152614,2.86640978876524,-1.06192696059271,0.935673505479834,-0.411717615697642,0.0590709874055728,0.712258613143009,-1.25239960744441,0.289702795752759,-1.62555579490559,-0.118480330037232,-0.871332271567381,1.25142766033775,0.404855102830911,-1.59778742935356,-2.10023100210817,-1.69923676583453,-1.69379779649383,-1.60251448994201,-1.13142846033278,-1.60399153467156,-1.54468750577805,-1.63790779170614,-0.910659286508492,-1.48525351154937,-2.03636515167431,-1.31225825832034,-2.47334015750894,-0.633503095144666,-2.31014174975908,-1.70276258950054,0.747112550695255,-2.45298873920536,-0.989186016028437,-2.13458938449685,-1.29242883268887,-1.72276033634705,-1.6998184220786,-0.582468184498643,-0.38750140654355,-1.78986068478196,1.33696874665035,-1.27493108138651,-1.89610800834816
