"","rowname","ADA","ALGO","ANKR","ATOM1","BAT","BCH","BNB","BNT","BSV","BTC","BTG","BTT1","CEL","CHZ","CRO","DAI1","DASH","DCR","DGB","DOGE","ENJ","EOS","ETC","ETH","FIL","FTM","FTT1","HBAR","HEX","HOT1","ICX","IOST","KSM","LINK","LRC","LTC","LUNA1","MANA","MATIC","MIOTA","MKR","NANO","NEO","OMG","ONE2","ONT","QNT","QTUM","RUNE","RVN","SC","SNX","STX1","TFUEL","THETA","TRX","TUSD","USDC","USDT","VET","WAVES","WAXP","XEM","XLM","XMR","XRP","XTZ","ZEC","ZEN","ZIL","ZRX"
"19","^KS11",0.799,0.843,0.461,0.681,0.842,0.305,0.256,0.0577,0.452,0.0371,0.434,0.42,0.568,0.305,0.216,0.408,0.601,0.0381,0.821,0.872,0.293,0.249,0.484,0.0523,1,0.963,0.902,0.887,0.936,0.997,0.563,0.469,0.404,0.073,0.925,0.117,0.88,0.31,0.154,0.859,0.97,0.62,0.221,0.0895,0.807,0.361,0.203,0.318,0.759,0.531,0.92,0.788,0.782,0.308,0.897,0.435,0.659,0.0538,0.0457,0.765,0.196,0.06,0.41,0.876,0.661,0.45,0.371,0.425,0.121,0.731,0.266
"20","^MERV",0.228,0.199,0.776,0.198,0.489,0.665,0.75,0.364,0.661,0.921,0.442,0.517,0.439,0.221,0.437,0.233,0.331,0.652,0.675,0.57,0.825,0.596,0.28,0.358,0.936,0.978,0.174,0.193,0.526,0.537,0.94,0.194,0.471,0.766,0.295,0.318,0.0667,0.304,0.368,0.726,0.944,0.519,0.401,0.55,0.0307,0.267,0.725,0.74,0.22,0.518,0.619,0.737,0.673,0.406,0.582,0.977,0.239,0.14,0.348,0.887,0.491,0.398,0.494,0.289,0.681,0.724,0.705,0.14,0.618,0.355,0.508
"21","^MXX",0.947,0.469,0.654,0.68,0.435,0.246,0.208,0.773,0.971,0.283,0.919,0.183,0.514,0.885,0.544,0.833,0.867,0.257,0.0156,0.742,0.869,0.489,0.83,0.744,0.404,0.457,0.82,0.968,0.903,0.753,0.379,0.195,0.315,0.0621,0.121,0.18,0.865,0.64,0.0394,0.979,0.42,0.636,0.555,0.488,0.414,0.865,0.332,0.564,0.659,0.815,0.84,0.935,0.902,0.785,0.424,0.727,0.924,0.797,0.385,0.382,0.646,0.406,0.998,0.487,0.709,0.895,0.379,0.886,0.767,0.776,0.839
"22","^N100",0.128,0.782,0.657,0.0341,0.11,0.666,0.0435,0.871,0.969,0.746,0.664,0.959,0.868,0.642,0.791,0.874,0.315,0.926,0.833,0.173,0.999,0.356,0.359,0.632,0.589,0.505,0.128,0.811,0.965,0.939,0.513,0.539,0.726,0.752,0.796,0.416,0.215,0.215,0.0501,0.524,0.882,0.595,0.712,0.905,0.417,0.409,0.32,0.408,0.827,0.945,0.257,0.564,0.884,0.549,0.588,0.393,0.598,0.204,0.725,0.48,0.417,0.0246,0.297,0.134,0.59,0.154,0.257,0.304,0.244,0.47,0.925
"23","^N225",0.783,0.511,0.537,0.777,0.952,0.612,0.687,0.114,0.0627,0.0103,0.11,0.407,0.888,0.34,0.343,0.944,0.379,0.264,0.399,0.771,0.188,0.444,0.134,0.186,0.568,0.835,0.584,0.769,0.85,0.986,0.493,0.9,0.662,0.961,0.866,0.074,0.594,0.241,0.233,0.558,0.694,0.821,0.0551,0.192,0.768,0.372,0.567,0.128,0.855,0.433,0.829,0.764,0.939,0.899,0.778,0.562,0.179,0.00459,0.103,0.737,0.0465,0.102,0.126,0.555,0.561,0.304,0.114,0.414,0.277,0.743,0.598
"24","^NYA",0.293,0.73,0.155,0.0138,0.224,0.745,0.363,0.863,0.369,0.326,0.57,0.933,0.702,0.678,0.91,0.764,0.626,0.675,0.377,0.395,0.952,0.296,0.425,0.733,0.289,0.825,0.265,0.702,0.988,0.854,0.0718,0.245,0.993,0.668,0.196,0.636,0.423,0.376,0.0738,0.407,0.902,0.955,0.907,0.963,0.807,0.696,0.866,0.948,0.862,0.627,0.987,0.939,0.899,0.726,0.961,0.376,0.481,0.123,0.508,0.763,0.974,0.182,0.647,0.197,0.28,0.354,0.52,0.414,0.235,0.152,0.585
"25","^NZ50",0.368,0.599,0.43,0.442,0.873,0.425,0.118,0.19,0.965,0.269,0.844,0.598,0.168,0.381,0.463,0.228,0.357,0.542,0.69,0.397,0.604,0.406,0.303,0.644,0.999,0.338,0.392,0.994,0.711,0.776,0.279,0.909,0.613,0.766,0.652,0.665,0.13,0.0786,0.471,0.916,0.751,0.516,0.433,0.412,0.765,0.998,0.197,0.176,0.0563,0.543,0.416,0.688,0.0643,0.523,0.754,0.756,0.773,0.684,0.616,0.179,0.43,0.636,0.934,0.874,0.535,0.724,0.918,0.566,0.304,0.785,0.771
"26","^RUT",0.267,0.224,0.121,0.0277,0.443,0.789,0.665,0.837,0.26,0.453,0.708,0.932,0.794,0.952,0.741,0.495,0.555,0.868,0.443,0.345,0.858,0.094,0.407,0.701,0.269,0.703,0.539,0.963,0.961,0.885,0.174,0.144,0.982,0.346,0.296,0.616,0.344,0.678,0.0745,0.345,0.779,0.956,0.975,0.761,0.253,0.442,0.542,0.883,0.529,0.438,0.917,0.65,0.844,0.486,0.993,0.23,0.335,0.262,0.171,0.559,0.864,0.203,0.858,0.19,0.293,0.309,0.53,0.336,0.106,0.162,0.267
"27","^STI",0.756,0.791,0.471,0.829,0.762,0.858,0.447,0.0625,0.467,0.219,0.528,0.251,0.639,0.116,0.737,0.924,0.393,0.435,0.9,0.364,0.337,0.641,0.313,0.0786,0.891,0.453,0.461,0.532,0.977,0.299,0.453,0.893,0.902,0.267,0.14,0.82,0.643,0.769,0.032,0.784,0.193,0.588,0.218,0.0643,0.389,0.203,0.791,0.298,0.0915,0.199,0.939,0.914,0.554,0.47,0.345,0.669,0.696,0.629,0.629,0.897,0.0354,0.0619,0.393,0.481,0.724,0.356,0.502,0.669,0.961,0.649,0.411
"28","^STOXX50E",0.152,0.732,0.606,0.0213,0.0927,0.614,0.0629,0.555,0.84,0.878,0.91,0.791,0.45,0.647,0.975,0.474,0.347,0.588,0.797,0.286,0.917,0.379,0.589,0.24,0.977,0.151,0.068,0.542,0.976,0.949,0.907,0.653,0.69,0.213,0.89,0.306,0.197,0.271,0.0304,0.551,0.593,0.748,0.959,0.865,0.501,0.437,0.687,0.643,0.851,0.806,0.351,0.38,0.91,0.416,0.27,0.332,0.711,0.183,0.971,0.744,0.374,0.0918,0.492,0.199,0.379,0.332,0.316,0.581,0.365,0.54,0.931
"29","^TA125",0.0415,0.793,0.538,0.00616,0.0845,0.246,0.109,0.123,0.151,0.434,0.0662,0.684,0.49,0.643,0.0501,0.566,0.0471,0.0417,0.00382,0.526,0.00718,0.253,0.273,0.428,0.239,0.127,0.903,0.581,0.323,0.66,0.00255,0.000851,0.302,0.639,0.157,0.0314,0.84,0.328,0.00406,0.604,0.0351,0.044,0.0417,0.101,0.492,0.0714,0.0529,0.0736,0.938,0.0128,0.0906,0.821,0.808,0.234,0.187,0.176,0.171,0.157,0.801,0.096,0.0304,0.135,0.0927,0.0393,0.0924,0.483,0.0321,0.174,0.136,0.203,0.14
"30","^TWII",0.84,0.392,0.979,0.947,0.555,0.637,0.623,0.0665,0.832,0.026,0.931,0.382,0.0615,0.908,0.132,0.419,0.746,0.0752,0.162,0.888,0.643,0.92,0.335,0.0248,0.529,0.51,0.897,0.553,0.268,0.448,0.958,0.808,0.73,8.21e-05,0.572,0.365,0.256,0.693,0.00521,0.515,0.0195,0.37,0.209,0.413,0.622,0.497,0.209,0.117,0.683,0.837,0.929,0.907,0.229,0.63,0.648,0.351,0.245,0.223,0.0298,0.981,0.162,0.454,0.757,0.791,0.804,0.433,0.372,0.641,0.646,0.988,0.781
"31","^VIX",0.101,0.867,0.516,0.0482,0.0213,0.601,0.162,0.538,0.172,0.35,0.297,0.985,0.223,0.998,0.557,0.704,0.687,0.755,0.887,0.346,0.87,0.195,0.305,0.421,0.199,0.765,0.398,0.818,0.917,0.636,0.289,0.274,0.997,0.594,0.641,0.428,0.307,0.447,0.0707,0.208,0.912,0.95,0.455,0.609,0.816,0.25,0.52,0.651,0.887,0.72,0.668,0.641,0.688,0.39,0.818,0.6,0.768,0.394,0.27,0.975,0.901,0.196,0.247,0.0482,0.374,0.119,0.453,0.213,0.331,0.465,0.921
"32","^XAX",0.531,0.684,0.172,0.0294,0.424,0.624,0.713,0.659,0.278,0.761,0.763,0.504,0.346,0.773,0.421,0.151,0.546,0.979,0.563,0.917,0.972,0.352,0.76,0.69,0.524,0.373,0.539,0.429,0.0848,0.442,0.0868,0.165,0.989,0.781,0.726,0.851,0.29,0.991,0.0526,0.757,0.927,0.691,0.851,0.575,0.806,0.372,0.217,0.785,0.873,0.846,0.552,0.945,0.155,0.652,0.711,0.434,0.214,0.0668,0.241,0.659,0.487,0.171,0.696,0.132,0.463,0.247,0.551,0.57,0.473,0.121,0.386
"33","000001",0.0257,0.729,0.0835,0.00454,0.00129,0.133,0.00887,0.7,0.0867,0.674,0.182,0.238,0.963,0.299,0.754,0.555,0.0339,0.276,0.0296,0.0432,0.0402,0.0439,0.0501,0.109,0.27,0.0507,0.813,0.2,0.136,0.693,0.0164,0.00474,0.873,0.692,0.795,0.124,0.436,0.788,0.014,0.0262,0.123,0.0659,0.158,0.359,0.741,0.159,0.717,0.634,0.579,0.00668,0.0552,0.696,0.975,0.966,0.00193,0.178,0.13,0.14,0.82,0.619,0.796,0.0228,0.101,0.0631,0.0102,0.171,0.686,0.0997,0.206,0.0926,0.0784
"34","399001",0.0262,0.915,0.058,0.00671,0.00146,0.18,0.00248,0.398,0.0882,0.54,0.136,0.114,0.751,0.405,0.846,0.671,0.0231,0.174,0.0155,0.0427,0.00817,0.0298,0.0637,0.0796,0.255,0.053,0.578,0.224,0.175,0.52,0.0078,0.0172,0.779,0.779,0.952,0.0947,0.704,0.606,0.00999,0.0286,0.0906,0.0654,0.199,0.357,0.654,0.226,0.57,0.657,0.508,0.0307,0.0466,0.534,0.754,0.731,0.0239,0.114,0.195,0.198,0.873,0.682,0.876,0.0967,0.186,0.12,0.0163,0.227,0.492,0.123,0.0363,0.0607,0.105
"35","IMOEX",0.673,0.669,0.555,0.456,0.832,0.975,0.419,0.703,0.00783,0.562,0.764,0.938,0.956,0.0889,0.992,0.923,0.732,0.409,0.458,0.779,0.889,0.579,0.386,0.634,0.803,0.375,0.999,0.676,0.455,0.887,0.926,0.178,0.967,0.945,0.925,0.806,0.49,0.616,0.519,0.965,0.523,0.373,0.884,0.75,0.28,0.418,0.459,0.614,0.575,0.682,0.756,0.855,0.852,0.397,0.311,0.618,0.764,0.544,0.0551,0.7,0.837,0.883,0.871,0.671,0.914,0.194,0.0854,0.544,0.734,0.118,0.911
