"","rowname","ADA","ALGO","ANKR","ATOM1","BAT","BCH","BNB","BNT","BSV","BTC","BTG","BTT1","CEL","CHZ","CRO","DAI1","DASH","DCR","DGB","DOGE","ENJ","EOS","ETC","ETH","FIL","FTM","FTT1","HBAR","HEX","HOT1","ICX","IOST","KSM","LINK","LRC","LTC","LUNA1","MANA","MATIC","MIOTA","MKR","NANO","NEO","OMG","ONE2","ONT","QNT","QTUM","RUNE","RVN","SC","SNX","STX1","TFUEL","THETA","TRX","TUSD","USDC","USDT","VET","WAVES","WAXP","XEM","XLM","XMR","XRP","XTZ","ZEC","ZEN","ZIL","ZRX"
"13","^HSI",0.47,0.37,0.51,0.33,0.43,-0.0081,0.048,0.52,-0.26,-0.38,0.35,0.35,0.15,-0.11,0.42,-0.095,0.37,0.19,0.52,0.093,0.6,0.37,0.093,-0.037,0.13,-0.091,-0.077,0.36,-0.041,0.44,0.59,0.54,-0.061,-0.43,0.61,0.21,0.29,0.59,-0.42,0.21,0.49,0.45,0.29,0.5,0.35,0.53,-0.27,0.37,-0.14,0.39,0.52,-0.37,0.15,0.4,0.28,0.47,0.37,0.25,-0.051,0.43,0.54,0.47,0.24,0.46,0.0021,0.28,-0.083,0.39,0.41,0.53,0.38
"14","^IPSA",-0.24,0.31,0.72,0.56,-0.48,-0.72,-0.7,0.17,-0.55,-0.78,-0.25,-0.11,-0.59,-0.16,-0.44,-0.17,-0.27,-0.49,0.062,-0.58,-0.21,-0.38,-0.48,-0.65,-0.61,-0.66,-0.19,0.33,0.05,-0.16,0.052,-0.13,0.1,-0.66,0.4,-0.52,0.3,0.028,-0.73,-0.14,-0.13,-0.24,-0.38,-0.061,0.32,-0.22,-0.41,-0.22,-0.19,-0.45,0.065,-0.47,0.2,0.69,-0.36,0.16,0.64,0.68,0.44,-0.34,0.58,-0.099,-0.26,0.14,-0.59,-0.024,-0.79,-0.093,-0.38,0.46,0.074
"15","^IXIC",-0.14,-0.57,-0.77,-0.59,0.22,0.26,0.29,-0.56,0.19,0.51,-0.22,-0.32,0.38,0.44,0.21,0.57,-0.22,0.1,-0.46,0.18,0.057,-0.059,-0.059,0.15,0.38,0.33,0.61,-0.67,-0.22,-0.18,-0.41,-0.14,-0.41,0.65,-0.58,0.11,-0.71,-0.37,0.48,-0.47,-0.047,-0.14,0.19,-0.32,-0.63,-0.075,0.42,-0.08,0.61,0.15,-0.45,0.8,-0.63,-0.82,0.19,-0.48,-0.35,-0.38,-0.4,0.25,-0.77,-0.25,-0.28,-0.56,0.1,-0.51,0.65,-0.3,0.041,-0.7,-0.29
"16","^JKSE",0.038,0.48,0.68,0.41,-0.21,-0.37,-0.27,0.3,-0.2,-0.45,0.091,0.16,-0.35,-0.25,-0.046,-0.23,0.024,-0.12,0.26,-0.23,0.066,-0.082,-0.13,-0.33,-0.34,-0.22,-0.18,0.5,-0.016,0.081,0.26,0.14,0.00013,-0.46,0.44,-0.11,0.46,0.26,-0.62,-0.019,0.079,-0.032,-0.024,0.21,0.47,0.071,-0.14,0.14,-0.28,-0.075,0.24,-0.51,0.3,0.6,0.059,0.29,0.48,0.45,0.18,-0.13,0.53,0.2,-0.0068,0.2,-0.22,0.096,-0.58,0.22,-0.15,0.45,0.001
"17","^JN0U",0.47,0.3,0.37,0.38,0.41,0.15,0.16,0.45,0.035,-0.14,0.45,0.36,0.2,-0.057,0.4,0.013,0.39,0.31,0.39,0.25,0.41,0.38,0.22,0.15,0.27,0.13,0.059,0.27,-0.1,0.44,0.46,0.47,-0.18,-0.19,0.43,0.32,0.19,0.48,-0.2,0.23,0.35,0.42,0.44,0.48,0.27,0.46,-0.084,0.46,-0.023,0.37,0.48,-0.2,0.025,0.24,0.18,0.51,0.15,0.07,-0.11,0.49,0.37,0.44,0.35,0.38,0.14,0.31,0.037,0.49,0.44,0.44,0.34
"18","^KLSE",0.23,0.65,0.89,0.81,-0.11,-0.22,-0.16,0.62,-0.015,-0.45,0.41,0.51,-0.33,-0.26,-0.041,-0.35,0.31,0.072,0.51,-0.094,0.093,0.16,0.091,-0.052,-0.18,-0.16,-0.36,0.67,0.047,0.38,0.47,0.28,0.12,-0.52,0.61,0.07,0.61,0.46,-0.47,0.4,0.3,0.16,0.2,0.47,0.65,0.25,-0.19,0.37,-0.38,-0.082,0.54,-0.66,0.42,0.84,0.022,0.65,0.45,0.48,0.26,0.075,0.77,0.37,0.34,0.54,-0.03,0.51,-0.6,0.52,0.16,0.73,0.26
"19","^KS11",0.056,-0.01,0.4,0.45,0.065,-0.4,-0.41,0.18,-0.46,-0.65,-0.11,0.0011,-0.056,0.11,-0.052,0.16,-0.093,-0.32,0.1,-0.33,0.22,-0.037,-0.32,-0.41,-0.13,-0.46,0.2,-0.058,-0.11,0.15,0.17,0.086,-0.22,-0.48,0.37,-0.24,-0.1,0.18,-0.43,-0.073,0.2,0.035,-0.061,0.058,-0.055,0.11,-0.47,-0.077,0.16,-0.057,0.12,-0.062,-0.16,0.36,-0.15,0.2,0.53,0.49,0.16,0.19,0.4,0.012,-0.18,0.17,-0.47,-0.013,-0.28,-0.027,0.074,0.36,0.34
"20","^MERV",0.2,0.086,0.21,0.45,0.098,0.16,0.22,0.23,0.37,0.13,0.41,0.4,0.093,0.063,0.14,0.2,0.25,0.26,0.17,0.23,0.051,0.21,0.12,0.31,0.25,0.32,0.25,0.024,-0.18,0.36,0.097,0.16,-0.26,0.21,0.083,0.31,-0.051,0.19,0.2,0.21,0.24,0.088,0.46,0.28,0.032,0.21,0.26,0.43,0.16,0.083,0.29,0.074,-0.16,0.15,0.087,0.42,-0.11,-0.028,-0.074,0.35,0.11,0.19,0.32,0.16,0.22,0.29,0.095,0.42,0.38,0.18,0.18
"21","^MXX",0.18,-0.19,0.11,0.24,0.26,-0.11,-0.27,0.17,-0.28,-0.41,-0.06,-0.052,0.13,0.12,0.048,0.12,0.0087,-0.21,0.038,-0.073,0.18,0.079,-0.073,-0.17,0.12,-0.28,0.18,-0.19,-0.045,0.14,0.14,0.12,-0.19,-0.31,0.26,-0.13,-0.19,0.17,-0.21,0.098,0.076,0.16,0.0031,0.093,-0.21,0.13,-0.47,-0.028,0.11,0.088,0.12,0.069,-0.13,0.11,-0.3,0.19,0.25,0.18,0.14,0.21,0.22,0.0093,-0.012,0.21,-0.3,0.083,-0.038,0.015,0.14,0.29,0.49
"22","^N100",-0.052,-0.58,-0.77,-0.6,0.31,0.32,0.34,-0.49,0.21,0.51,-0.17,-0.24,0.39,0.41,0.28,0.46,-0.14,0.12,-0.38,0.24,0.15,0.036,0.013,0.21,0.41,0.36,0.51,-0.66,-0.17,-0.087,-0.32,-0.084,-0.33,0.63,-0.5,0.18,-0.66,-0.3,0.47,-0.36,0.054,-0.064,0.23,-0.25,-0.62,0.02,0.4,-0.039,0.51,0.24,-0.38,0.74,-0.53,-0.8,0.27,-0.43,-0.36,-0.41,-0.42,0.27,-0.73,-0.18,-0.22,-0.48,0.14,-0.42,0.64,-0.25,0.063,-0.66,-0.2
"23","^N225",-0.29,-0.69,-0.61,-0.36,0.099,-0.069,-0.087,-0.57,-0.12,0.11,-0.45,-0.46,0.2,0.57,-0.025,0.62,-0.42,-0.26,-0.52,-0.11,-0.01,-0.24,-0.37,-0.16,0.21,-0.053,0.67,-0.81,-0.19,-0.26,-0.46,-0.3,-0.41,0.39,-0.49,-0.21,-0.85,-0.43,0.28,-0.52,-0.067,-0.26,-0.028,-0.45,-0.77,-0.2,0.11,-0.3,0.7,-0.082,-0.5,0.81,-0.71,-0.62,-0.094,-0.49,-0.074,-0.076,-0.13,0.16,-0.61,-0.44,-0.47,-0.51,-0.28,-0.55,0.41,-0.48,-0.088,-0.57,-0.082
"24","^NYA",-0.12,-0.55,-0.68,-0.46,0.2,0.21,0.25,-0.51,0.18,0.43,-0.19,-0.25,0.34,0.44,0.18,0.57,-0.2,0.063,-0.42,0.14,0.08,-0.041,-0.081,0.13,0.35,0.3,0.61,-0.66,-0.22,-0.1,-0.37,-0.13,-0.41,0.59,-0.5,0.11,-0.69,-0.34,0.44,-0.43,0.02,-0.15,0.22,-0.28,-0.62,-0.042,0.39,-0.051,0.61,0.13,-0.41,0.77,-0.63,-0.72,0.2,-0.4,-0.29,-0.31,-0.37,0.27,-0.69,-0.23,-0.27,-0.51,0.062,-0.46,0.57,-0.26,0.059,-0.62,-0.23
"25","^NZ50",-0.18,-0.6,-0.92,-0.74,0.13,0.39,0.41,-0.63,0.36,0.75,-0.19,-0.31,0.38,0.28,0.16,0.45,-0.19,0.17,-0.51,0.28,-0.093,-0.059,0.07,0.3,0.36,0.48,0.5,-0.66,-0.17,-0.23,-0.5,-0.22,-0.32,0.81,-0.7,0.18,-0.62,-0.46,0.63,-0.4,-0.18,-0.19,0.15,-0.36,-0.63,-0.16,0.57,-0.088,0.47,0.14,-0.51,0.77,-0.5,-0.93,0.2,-0.55,-0.58,-0.57,-0.44,0.081,-0.9,-0.28,-0.21,-0.63,0.26,-0.47,0.69,-0.3,-0.045,-0.83,-0.41
"26","^RUT",-0.086,-0.37,-0.39,-0.19,0.19,0.011,0.041,-0.34,-0.082,0.086,-0.2,-0.2,0.29,0.41,0.12,0.57,-0.2,-0.039,-0.29,-0.042,0.16,-0.039,-0.21,-0.078,0.23,0.025,0.6,-0.5,-0.22,-0.035,-0.22,-0.034,-0.43,0.24,-0.27,-0.021,-0.58,-0.19,0.19,-0.42,0.1,-0.079,0.13,-0.21,-0.45,0.0065,0.11,-0.092,0.6,0.049,-0.29,0.59,-0.61,-0.44,0.14,-0.26,-0.015,-0.04,-0.26,0.31,-0.39,-0.18,-0.31,-0.36,-0.12,-0.4,0.4,-0.24,0.13,-0.36,-0.14
"27","^STI",0.45,0.29,0.28,0.2,0.48,0.22,0.27,0.38,0.061,-0.00067,0.45,0.32,0.12,0.093,0.46,-0.072,0.39,0.41,0.33,0.34,0.38,0.37,0.19,0.22,0.38,0.19,-0.067,0.25,-0.0083,0.41,0.42,0.5,0.0048,-0.015,0.35,0.37,0.16,0.41,-0.18,0.18,0.38,0.44,0.53,0.47,0.26,0.47,0.13,0.51,-0.037,0.38,0.45,-0.18,0.074,0.11,0.21,0.44,0.15,0.038,-0.18,0.51,0.22,0.43,0.32,0.31,0.23,0.26,0.099,0.47,0.39,0.31,0.28
"28","^STOXX50E",-0.13,-0.65,-0.79,-0.58,0.25,0.25,0.26,-0.56,0.18,0.48,-0.25,-0.33,0.34,0.48,0.19,0.51,-0.22,0.031,-0.45,0.18,0.072,-0.051,-0.067,0.15,0.39,0.29,0.56,-0.74,-0.18,-0.16,-0.4,-0.18,-0.35,0.65,-0.56,0.088,-0.74,-0.38,0.47,-0.41,-0.014,-0.14,0.17,-0.33,-0.7,-0.065,0.38,-0.1,0.57,0.15,-0.45,0.8,-0.59,-0.82,0.16,-0.48,-0.34,-0.37,-0.35,0.22,-0.77,-0.28,-0.29,-0.53,0.06,-0.47,0.6,-0.32,0.0027,-0.69,-0.18
"29","^TA125",-0.37,-0.77,-0.89,-0.62,0.019,0.12,0.12,-0.75,0.14,0.48,-0.44,-0.48,0.21,0.52,-0.046,0.58,-0.42,-0.13,-0.67,0.031,-0.21,-0.26,-0.23,0.04,0.26,0.18,0.61,-0.85,-0.17,-0.34,-0.65,-0.39,-0.34,0.71,-0.74,-0.096,-0.85,-0.61,0.52,-0.56,-0.24,-0.35,-0.012,-0.55,-0.81,-0.32,0.41,-0.3,0.64,-0.092,-0.65,0.9,-0.67,-0.88,-0.0078,-0.64,-0.37,-0.34,-0.31,0.013,-0.89,-0.5,-0.45,-0.72,-0.054,-0.61,0.55,-0.51,-0.19,-0.84,-0.33
"30","^TWII",-0.19,-0.69,-0.77,-0.54,0.2,0.15,0.15,-0.59,0.086,0.37,-0.33,-0.41,0.34,0.5,0.13,0.6,-0.31,-0.062,-0.5,0.074,0.045,-0.13,-0.17,0.032,0.33,0.19,0.66,-0.79,-0.21,-0.23,-0.45,-0.22,-0.43,0.57,-0.57,-0.018,-0.81,-0.4,0.41,-0.48,-0.063,-0.19,0.087,-0.39,-0.75,-0.13,0.27,-0.19,0.65,0.092,-0.49,0.84,-0.68,-0.79,0.07,-0.51,-0.26,-0.29,-0.29,0.21,-0.74,-0.34,-0.36,-0.55,-0.054,-0.54,0.58,-0.4,-0.0097,-0.68,-0.18
"31","^VIX",-0.061,0.26,0.18,0.11,-0.27,-0.033,-0.096,0.14,0.014,-0.028,0.062,0.017,-0.065,-0.39,-0.22,-0.25,0.042,0.034,0.058,-0.076,-0.26,-0.062,0.11,-0.0066,-0.21,-0.08,-0.27,0.32,0.06,-0.13,0.022,-0.045,0.17,-0.21,0.075,-0.069,0.39,0.017,-0.094,0.18,-0.26,-0.019,-0.23,0.028,0.29,-0.16,-0.14,-0.062,-0.3,-0.17,0.048,-0.35,0.3,0.23,-0.2,0.06,-0.0059,0.021,0.18,-0.29,0.21,0.031,0.14,0.12,0.068,0.16,-0.18,0.058,-0.057,0.17,-0.13
"32","^XAX",0.49,0.28,0.28,0.18,0.46,0.22,0.24,0.45,-0.034,-0.062,0.43,0.38,0.28,-0.17,0.53,-0.1,0.45,0.34,0.42,0.25,0.54,0.44,0.26,0.21,0.25,0.13,-0.069,0.28,-0.092,0.46,0.51,0.49,-0.098,-0.2,0.44,0.37,0.29,0.49,-0.21,0.24,0.39,0.45,0.39,0.48,0.27,0.52,-0.02,0.43,-0.18,0.45,0.45,-0.28,0.17,0.17,0.3,0.42,0.11,0.0013,-0.2,0.42,0.32,0.46,0.32,0.37,0.21,0.29,0.074,0.46,0.44,0.36,0.24
"33","000001",0.36,-0.11,-0.27,-0.41,0.54,0.32,0.37,0.05,0.0071,0.19,0.1,0.066,0.38,0.025,0.55,0.069,0.23,0.24,0.21,0.31,0.65,0.37,0.22,0.2,0.29,0.27,0.11,-0.12,-0.053,0.19,0.29,0.39,-0.11,0.13,0.11,0.35,-0.098,0.26,0.047,-0.018,0.45,0.31,0.31,0.21,-0.12,0.48,0.11,0.23,0.048,0.6,0.11,0.13,-0.064,-0.3,0.61,-0.065,-0.13,-0.26,-0.29,0.38,-0.15,0.29,0.063,0.025,0.22,-0.057,0.39,0.097,0.24,-0.11,0.091
"34","399001",0.077,-0.38,-0.57,-0.62,0.36,0.24,0.29,-0.3,0.0036,0.32,-0.16,-0.21,0.37,0.21,0.37,0.3,-0.049,0.1,-0.13,0.19,0.42,0.12,0.038,0.099,0.26,0.24,0.35,-0.43,-0.12,-0.078,-0.057,0.11,-0.25,0.35,-0.24,0.17,-0.41,-0.067,0.2,-0.3,0.23,0.048,0.17,-0.1,-0.41,0.2,0.23,0.00073,0.31,0.39,-0.22,0.46,-0.33,-0.59,0.47,-0.38,-0.23,-0.32,-0.3,0.25,-0.48,-0.016,-0.19,-0.3,0.1,-0.36,0.51,-0.2,0.065,-0.46,-0.13
"35","IMOEX",-0.21,-0.65,-0.85,-0.49,0.071,0.32,0.29,-0.62,0.44,0.63,-0.23,-0.28,0.29,0.51,0.031,0.54,-0.25,0.059,-0.56,0.21,-0.17,-0.1,0.02,0.26,0.4,0.42,0.6,-0.75,-0.2,-0.18,-0.56,-0.29,-0.39,0.79,-0.69,0.11,-0.77,-0.51,0.67,-0.36,-0.15,-0.26,0.21,-0.38,-0.72,-0.19,0.48,-0.085,0.61,0.008,-0.53,0.89,-0.63,-0.82,0.053,-0.44,-0.51,-0.46,-0.36,0.15,-0.85,-0.35,-0.22,-0.59,0.15,-0.42,0.6,-0.29,-0.036,-0.74,-0.28
