"","rowname","ADA","ALGO","ANKR","ATOM1","BAT","BCH","BNB","BNT","BSV","BTC","BTG","BTT1","CEL","CHZ","CRO","DAI1","DASH","DCR","DGB","DOGE","ENJ","EOS","ETC","ETH","FIL","FTM","FTT1","HBAR","HEX","HOT1","ICX","IOST","KSM","LINK","LRC","LTC","LUNA1","MANA","MATIC","MIOTA","MKR","NANO","NEO","OMG","ONE2","ONT","QNT","QTUM","RUNE","RVN","SC","SNX","STX1","TFUEL","THETA","TRX","TUSD","USDC","USDT","VET","WAVES","WAXP","XEM","XLM","XMR","XRP","XTZ","ZEC","ZEN","ZIL","ZRX"
"18","^KLSE",-0.018,-0.0073,-0.0022,0.061,-0.02,0.01,0.019,-0.059,0.064,-0.022,0.066,0.03,0.05,0.02,0.059,0.033,-0.012,-0.038,0.098,0.0082,0.028,0.012,0.048,-0.07,0.032,0.038,0.031,-0.029,0.016,0.085,0.042,0.01,-0.12,-0.12,0.14,-0.0042,-0.029,-0.0095,0.0066,-0.033,0.019,-0.0041,-0.0041,-0.016,-0.0037,-0.027,-0.11,-0.022,-0.0056,0.035,-0.0014,0.13,0.067,0.0073,0.08,-0.022,0.025,0.0094,-0.019,0.03,-0.019,0.015,-0.033,-0.0092,-0.044,-0.022,0.0061,-0.0024,-0.12,-0.0087,0.019
"19","^KS11",0.0016,0.0083,-0.0022,0.03,0.038,-0.11,-0.057,-0.12,-0.075,-0.15,-0.074,-0.034,-0.032,0.076,0.077,-0.053,-0.04,-0.14,0.034,0.0047,-0.053,-0.079,-0.057,-0.13,-0.0011,0.0014,7e-04,-0.0041,0.027,-0.0062,-0.03,-0.022,-0.058,-0.089,0.0086,-0.088,0.038,-0.057,-0.05,-0.016,0.0038,-0.028,-0.082,-0.1,0.0081,-0.053,-0.14,-0.082,-0.037,0.0027,-0.013,0.016,0.03,-0.072,-0.004,-0.045,-0.021,-0.12,-0.12,0.018,-0.091,0.099,-0.075,0.012,-0.026,-0.037,-0.05,-0.054,-0.1,0.032,0.073
"20","^MERV",0.061,0.079,-0.035,0.056,0.036,0.013,6e-04,0.036,0.0066,-0.012,0.0075,0.021,0.044,0.08,0.041,-0.077,0.039,0.0083,0.017,0.024,0.0069,0.019,0.035,0.039,-0.013,-0.024,0.077,0.073,-0.054,0.023,-0.0094,0.049,0.046,-0.0068,-0.066,0.06,0.095,0.04,0.065,-0.019,-0.00083,0.032,0.036,0.017,0.13,0.048,0.0046,0.0064,0.043,0.032,0.012,-0.0082,0.026,0.029,-0.059,-0.00058,-0.067,-0.086,-0.052,0.013,0.011,0.044,0.026,0.058,0.0039,0.007,0.016,0.064,0.039,0.03,0.029
"21","^MXX",-0.00098,0.04,0.053,0.021,0.054,-0.049,-0.062,-0.002,0.023,-0.047,-0.0017,-0.089,-0.01,-0.0057,-0.025,0.014,0.014,-0.062,-0.15,0.009,-0.0034,-0.053,-0.0057,-0.0081,0.09,-0.016,-0.0087,-0.0059,0.11,-0.011,-0.018,0.11,-0.076,-0.14,-0.056,-0.055,0.013,-0.03,-0.13,0.0052,-0.052,-0.0056,-0.015,0.057,-0.053,0.03,-0.023,-0.0088,-0.037,0.03,0.0075,0.11,0.00087,-0.025,-0.04,-0.012,0.0065,0.017,0.055,-0.04,-0.037,0.066,0.0047,-0.022,-0.018,0.0058,0.034,-0.012,-0.011,0.023,0.0088
"22","^N100",0.091,-0.017,-0.044,0.13,0.11,0.014,0.11,0.024,-0.013,-0.023,-0.0047,-0.0028,-0.0088,-0.013,0.041,0.0064,0.07,-0.0056,-0.012,0.07,-0.015,0.052,0.054,0.034,-0.039,0.026,0.11,-0.019,-0.0072,-0.02,-0.015,0.038,0.03,-0.066,0.012,0.07,0.077,0.064,-0.044,0.029,0.014,0.036,0.015,0.012,0.046,0.03,-0.071,0.047,0.014,0.007,0.088,-0.0033,0.0058,-0.028,0.024,0.049,0.033,-0.076,0.024,0.068,-0.079,0.17,0.075,0.1,0.027,0.081,0.069,0.082,0.07,0.048,0.007
"23","^N225",0.023,-0.04,-0.062,0.033,0.0035,-0.059,-0.044,-0.098,-0.13,-0.19,-0.12,-0.0062,-0.012,0.052,0.017,0.00019,-0.057,-0.088,0.086,-0.029,-0.066,-0.049,-0.1,-0.11,0.033,0.0089,-0.033,-0.017,0.066,0.002,-0.029,0.0049,-0.036,-0.076,0.0077,-0.1,-0.042,-0.071,-0.024,-0.029,-0.017,6e-05,-0.12,-0.08,-0.017,-0.053,-0.095,-0.097,-0.047,-0.055,-0.03,0.0084,0.02,-0.016,-0.0087,0.039,-0.086,-0.17,-0.1,-0.014,-0.12,0.092,-0.1,-0.02,-0.048,-0.059,-0.096,-0.076,-0.065,0.048,0.043
"24","^NYA",0.036,0.018,-0.11,0.15,0.08,-0.0036,0.035,-0.00037,0.038,-0.073,-0.014,7e-04,-0.037,-0.011,-0.017,-0.026,0.014,-0.05,-0.06,0.046,-0.011,0.029,0.023,0.0079,-0.068,0.012,0.079,-0.02,0.0084,-0.025,-0.082,0.051,0.0037,-0.0071,0.078,0.019,0.062,0.044,-0.0014,0.029,0.0011,-0.003,-0.014,-0.019,0.019,-0.023,-0.039,-0.029,0.016,-0.038,0.012,-0.0015,0.017,-0.028,-0.0059,0.05,-0.046,-0.096,-0.042,0.026,-0.032,0.082,0.022,0.082,0.053,0.044,0.029,0.044,0.055,0.088,-0.035
"25","^NZ50",0.028,0.027,0.0058,0.029,-0.012,0.017,0.083,0.052,-0.00027,0.052,-0.02,-0.035,0.099,0.039,0.068,-0.09,0.031,0.0066,0.026,0.045,0.029,0.0047,0.04,0.015,-0.026,0.018,0.056,0.00083,-0.084,0.016,0.035,-0.019,-0.033,0.014,-0.00025,0.0025,0.06,0.078,-0.004,-0.0038,0.02,0.0029,0.035,0.028,0.012,-0.034,0.081,0.058,0.15,-0.047,0.044,-0.02,0.11,-0.069,-0.018,-0.0032,-0.012,0.028,0.036,0.068,0.027,0.035,-0.003,-0.0042,0.031,-0.033,-0.015,0.017,0.041,-0.0022,0.03
"26","^RUT",0.047,0.069,-0.12,0.14,0.06,0.0011,0.0092,-0.0053,0.063,-0.063,-0.022,0.015,-0.014,0.008,-0.051,-0.05,0.025,-0.027,-0.05,0.061,-0.03,0.075,0.027,0.012,-0.082,0.014,0.042,0.00036,0.0037,-0.00049,-0.062,0.081,-0.0027,0.035,0.069,0.02,0.078,0.015,0.0022,0.047,0.01,-0.0077,-0.019,0.0044,0.068,0.0041,-0.061,-0.014,0.033,-0.05,0.022,-0.039,0.026,-0.013,-0.013,0.074,-0.061,-0.07,-0.086,0.047,-0.058,0.068,0.012,0.089,0.049,0.054,0.025,0.059,0.087,0.086,-0.056
"27","^STI",-0.029,-0.0088,-0.027,-0.0054,0.028,-0.042,-0.033,-0.13,-0.041,-0.11,-0.091,-0.058,-0.023,0.09,-0.014,-0.007,-0.067,-0.075,0.0065,0.04,-0.057,-0.041,-0.088,-0.11,-0.015,0.029,0.049,0.031,-0.022,-0.081,-0.057,-0.0087,0.0056,-0.059,-0.08,-0.011,0.018,0.015,-0.026,-0.032,-0.072,0.021,-0.089,-0.13,0.052,-0.097,-0.066,-0.084,0.075,-0.073,-0.024,0.047,0.037,0.014,-0.05,-0.043,-0.024,-0.03,0.03,0.018,-0.17,0.094,-0.064,-0.044,-0.024,-0.067,-0.047,-0.045,0.0054,-0.019,-0.043
"28","^STOXX50E",0.087,-0.025,-0.065,0.14,0.12,0.031,0.11,0.052,0.011,-0.0085,-0.045,-0.0048,0.04,-0.012,0.029,0.043,0.06,0.022,-0.013,0.053,-0.011,0.051,0.029,0.072,-0.0012,0.089,0.12,-0.045,0.015,-0.017,0.029,0.032,0.033,0.00069,-0.0011,0.087,0.068,0.064,-0.044,0.032,0.027,0.033,-0.00084,0.012,0.034,0.024,-0.04,0.028,-0.006,-0.003,0.071,-0.032,0.0089,0.0043,0.059,0.057,0.024,-0.081,0.0034,0.048,-0.082,0.13,0.052,0.086,0.043,0.053,0.071,0.049,0.062,0.046,0.0048
"29","^TA125",-0.15,-0.0098,0.079,-0.19,-0.13,-0.088,-0.094,-0.11,-0.085,-0.03,-0.13,-0.0021,-0.058,0.02,-0.094,-0.043,-0.14,-0.14,-0.18,-0.04,-0.17,-0.094,-0.08,-0.041,-0.072,-0.082,-0.016,0.037,-0.053,-0.069,-0.19,-0.22,0.073,0.0013,-0.1,-0.15,0.016,-0.066,0.084,-0.061,-0.13,-0.16,-0.13,-0.12,-0.026,-0.14,-0.042,-0.1,0.015,-0.17,-0.12,-0.017,0.0059,-0.016,-0.069,-0.1,0.084,0.087,0.014,-0.11,-0.15,-0.13,-0.097,-0.15,-0.11,-0.067,-0.13,-0.079,-0.11,-0.096,-0.12
"30","^TWII",-0.0038,-0.05,-0.045,0.024,0.073,-0.069,-0.0049,-0.12,-0.057,-0.18,-0.012,-0.037,-0.11,0.029,0.063,-0.059,-0.028,-0.13,0.11,-0.011,0.018,-0.00054,-0.053,-0.15,-0.046,-0.072,-0.013,-0.021,0.093,-0.033,-0.0092,-0.017,-0.034,-0.21,-0.015,-0.07,-0.033,-0.022,-0.098,-0.03,-0.13,0.066,-0.093,-0.071,-0.023,-0.048,-0.066,-0.12,-0.082,0.03,-0.0094,0.057,-0.08,-0.015,0.021,-0.052,-0.071,-0.073,-0.13,-0.0062,-0.12,0.037,-0.043,-0.0033,-0.015,-0.04,-0.051,-0.055,-0.027,-0.0019,-0.0078
"31","^VIX",-0.081,-0.0023,0.067,-0.11,-0.14,-0.0053,-0.047,-0.045,-0.041,0.088,-0.011,0.0032,0.095,0.01,0.0036,-0.025,-0.0046,0.064,0.0089,-0.03,-0.034,-0.042,-0.038,-0.038,0.08,-0.019,-0.051,0.034,-0.036,-0.017,0.038,-0.051,0.00061,-0.0032,-0.024,-0.014,-0.057,-0.04,0.029,-0.067,0.0091,0.015,-0.019,-0.014,-0.004,-0.026,0.1,0.00096,0.0039,-0.0047,-0.014,0.00063,0.018,0.005,-0.0082,-0.029,0.022,0.05,0.075,-0.00074,0.043,-0.097,-0.058,-0.12,-0.027,-0.091,-0.032,-0.055,-0.021,-0.061,-0.018
"32","^XAX",0.025,0.017,-0.11,0.15,0.093,-0.022,-0.0084,0.033,0.069,-0.014,0.024,-0.037,-0.06,-0.015,0.012,-0.09,0.038,-0.0084,-0.037,-0.011,0.026,0.042,0.011,0.031,-0.048,-0.03,0.03,-0.041,0.0054,0.019,-0.074,0.079,-0.001,-0.013,-0.037,0.013,0.039,-0.0091,-0.03,0.026,-0.0074,0.04,0.01,0.041,0.0087,0.041,-0.067,-0.014,-0.0029,0.016,-0.013,-0.069,0.099,0.0048,-0.027,0.053,-0.078,-0.11,-0.072,0.022,-0.072,0.086,0.036,0.11,0.041,0.079,0.038,0.046,0.022,0.083,-0.035
"33","000001",0.14,-0.027,-0.18,0.18,0.23,0.073,0.15,0.032,0.06,-0.018,0.052,0.079,-0.0042,-0.036,-0.042,-0.041,0.13,0.052,0.15,0.12,0.009,0.13,0.11,0.082,0.062,0.038,0.01,-0.073,-0.033,0.044,0.16,0.21,-0.014,-0.033,0.011,0.077,-0.043,0.012,-0.064,0.14,0.1,0.14,0.078,0.068,-0.027,0.099,-0.039,0.013,-0.024,0.17,0.14,-0.023,0.015,-0.053,0.14,0.1,-0.097,-0.092,-0.013,0.031,-0.00012,0.13,0.1,0.15,0.16,0.097,0.011,0.085,0.052,0.11,0.13
"34","399001",0.14,-0.014,-0.17,0.17,0.23,0.067,0.16,0.054,0.053,-0.0017,0.055,0.094,-0.016,-0.028,-0.057,-0.038,0.12,0.068,0.16,0.12,0.084,0.14,0.11,0.092,0.069,0.043,0.028,-0.068,-0.022,0.051,0.16,0.19,0.015,-0.023,0.00011,0.075,-0.024,0.027,-0.069,0.14,0.11,0.14,0.068,0.065,-0.03,0.08,-0.024,0.0099,-0.032,0.16,0.15,-0.029,0.039,-0.067,0.078,0.11,-0.085,-0.081,-0.012,0.022,-0.0044,0.089,0.084,0.13,0.14,0.086,0.026,0.074,0.097,0.12,0.13
"35","IMOEX",0.013,0.043,-0.011,0.045,0.025,0.009,0.047,0.021,0.16,-0.027,-0.0096,-0.013,0.024,0.083,0.0054,-0.013,0.0072,-0.057,-0.048,0.0014,-0.011,0.018,0.062,0.021,0.038,0.04,0.0087,0.037,0.024,-0.027,0.014,0.067,0.0022,-0.08,-0.022,0.015,0.064,-0.025,-0.008,-0.019,-0.039,0.059,-0.0014,-0.04,0.08,0.031,-0.066,-0.043,-0.02,-0.0027,0.023,0.078,-0.015,0.037,0.071,0.0086,-0.022,-0.043,-0.12,0.011,-0.045,0.0019,-0.0091,0.014,-0.0062,0.062,0.11,0.03,-0.024,0.06,-0.0061
