"","rowname","ADA","ALGO","ANKR","ATOM1","BAT","BCH","BNB","BNT","BSV","BTC","BTG","BTT1","CEL","CHZ","CRO","DAI1","DASH","DCR","DGB","DOGE","ENJ","EOS","ETC","ETH","FIL","FTM","FTT1","HBAR","HEX","HOT1","ICX","IOST","KSM","LINK","LRC","LTC","LUNA1","MANA","MATIC","MIOTA","MKR","NANO","NEO","OMG","ONE2","ONT","QNT","QTUM","RUNE","RVN","SC","SNX","STX1","TFUEL","THETA","TRX","TUSD","USDC","USDT","VET","WAVES","WAXP","XEM","XLM","XMR","XRP","XTZ","ZEC","ZEN","ZIL","ZRX"
"24","^NYA",0.065,0.021,-0.088,0.15,0.076,0.02,0.057,0.011,0.056,-0.061,0.035,-0.0052,-0.024,-0.026,-0.007,-0.019,0.03,-0.026,-0.055,0.053,0.0038,0.065,0.05,0.021,-0.066,-0.014,0.069,-0.024,0.00097,-0.011,-0.11,0.072,-0.00058,0.027,0.081,0.029,0.05,0.055,-0.11,0.052,0.0076,0.0035,0.0072,0.0029,0.015,0.024,-0.011,-0.0041,0.011,-0.03,0.00099,-0.0047,0.0079,0.022,0.003,0.055,-0.044,-0.096,-0.041,0.019,0.002,0.083,0.028,0.08,0.067,0.058,0.04,0.051,0.074,0.089,-0.034
"25","^NZ50",0.056,0.033,0.049,0.048,0.01,0.05,0.097,0.082,-0.0028,0.069,0.012,-0.033,0.086,0.055,0.046,-0.075,0.057,0.038,0.025,0.053,0.032,0.052,0.064,0.029,-8.5e-05,0.06,0.053,0.00049,0.023,0.018,0.067,0.0072,-0.031,-0.019,0.028,0.027,0.094,0.11,-0.045,0.0066,0.02,0.04,0.049,0.051,0.019,0.00014,0.08,0.084,0.12,-0.038,0.051,0.025,0.11,-0.04,-0.019,0.019,-0.018,0.025,0.031,0.084,0.049,0.029,0.0052,-0.0099,0.039,-0.022,0.0064,0.036,0.064,0.017,0.018
"26","^RUT",0.069,0.076,-0.096,0.14,0.048,0.017,0.027,0.013,0.07,-0.047,0.023,0.0053,-0.016,-0.0038,-0.021,-0.043,0.037,-0.01,-0.048,0.059,-0.011,0.1,0.052,0.024,-0.069,-0.024,0.038,-0.0029,0.003,0.009,-0.085,0.091,-0.0014,0.059,0.065,0.031,0.059,0.026,-0.11,0.059,0.017,-0.0034,0.0019,0.019,0.071,0.048,-0.038,0.0091,0.039,-0.048,0.0065,-0.028,0.012,0.043,-0.00053,0.075,-0.06,-0.07,-0.085,0.036,-0.011,0.079,0.011,0.082,0.066,0.063,0.039,0.06,0.1,0.087,-0.069
"27","^STI",-0.019,-0.017,0.045,-0.013,0.019,-0.011,-0.047,-0.12,-0.045,-0.076,-0.039,-0.071,-0.029,0.098,0.021,-0.006,-0.053,-0.049,-0.0079,0.057,-0.06,-0.029,-0.063,-0.11,-0.0086,0.047,0.046,0.039,-0.0018,-0.065,-0.047,-0.0084,0.0076,-0.069,-0.092,-0.014,0.029,0.018,-0.13,-0.017,-0.081,0.034,-0.077,-0.11,0.054,-0.079,-0.017,-0.065,0.1,-0.08,-0.0048,-0.0067,0.037,0.045,-0.059,-0.027,-0.024,-0.03,0.03,0.0081,-0.13,0.12,-0.053,-0.044,-0.022,-0.057,-0.042,-0.027,-0.003,0.028,-0.051
"28","^STOXX50E",0.089,-0.021,-0.032,0.14,0.1,0.031,0.12,0.037,0.013,-0.0096,-0.007,-0.017,0.047,-0.029,0.0019,0.045,0.059,0.034,-0.016,0.066,-0.0065,0.055,0.034,0.073,0.0018,0.089,0.11,-0.038,-0.0019,-0.004,0.0073,0.028,0.025,0.077,-0.0087,0.064,0.08,0.068,-0.13,0.037,0.033,0.02,0.0032,0.011,0.042,0.048,-0.025,0.029,-0.012,-0.015,0.058,-0.055,0.007,0.051,0.069,0.06,0.023,-0.083,0.0022,0.02,-0.055,0.1,0.043,0.08,0.055,0.06,0.062,0.034,0.056,0.038,0.0054
"29","^TA125",-0.13,-0.016,0.038,-0.17,-0.11,-0.072,-0.1,-0.096,-0.089,-0.049,-0.11,0.025,-0.043,0.029,-0.12,-0.036,-0.12,-0.13,-0.18,-0.039,-0.17,-0.071,-0.068,-0.049,-0.073,-0.095,-0.0076,0.034,-0.061,-0.027,-0.19,-0.21,0.064,-0.029,-0.088,-0.13,0.013,-0.061,0.18,-0.032,-0.13,-0.13,-0.13,-0.1,-0.043,-0.11,-0.12,-0.11,0.0048,-0.15,-0.11,-0.014,-0.015,-0.074,-0.082,-0.084,0.085,0.088,0.016,-0.1,-0.13,-0.093,-0.1,-0.13,-0.1,-0.044,-0.13,-0.085,-0.093,-0.079,-0.092
"30","^TWII",-0.013,-0.053,0.0016,0.0041,0.037,-0.029,-0.031,-0.11,-0.013,-0.14,-0.0054,-0.054,-0.12,0.0072,0.094,-0.05,-0.02,-0.11,0.087,-0.0088,0.029,-0.0062,-0.06,-0.14,-0.039,-0.041,-0.0081,-0.037,0.069,-0.047,-0.0033,-0.015,-0.021,-0.24,-0.035,-0.056,-0.071,-0.025,-0.17,-0.041,-0.14,0.056,-0.078,-0.051,-0.031,-0.042,-0.078,-0.097,-0.025,0.013,-0.0055,0.0073,-0.075,0.03,0.028,-0.058,-0.072,-0.076,-0.13,0.0015,-0.087,0.047,-0.019,-0.017,-0.015,-0.049,-0.056,-0.029,-0.029,-0.00097,-0.017
"31","^VIX",-0.1,-0.01,0.041,-0.12,-0.14,-0.033,-0.087,-0.038,-0.085,0.058,-0.065,-0.0011,0.076,0.00013,-0.037,-0.024,-0.025,0.019,-0.0089,-0.059,-0.01,-0.081,-0.064,-0.05,0.08,-0.019,-0.053,0.014,-0.0065,-0.03,0.066,-0.068,0.00022,-0.033,-0.029,-0.049,-0.064,-0.047,0.11,-0.078,0.0069,0.0039,-0.047,-0.032,-0.014,-0.072,0.04,-0.028,-0.0089,-0.022,-0.027,-0.029,0.025,-0.054,-0.014,-0.033,0.018,0.053,0.069,0.0019,0.0078,-0.08,-0.072,-0.12,-0.055,-0.097,-0.047,-0.078,-0.06,-0.046,-0.0062
"32","^XAX",0.039,0.025,-0.085,0.14,0.05,-0.031,-0.023,0.028,0.067,-0.019,0.019,-0.042,-0.059,-0.018,0.05,-0.089,0.038,0.0017,-0.036,-0.0065,-0.0022,0.058,0.019,0.025,-0.04,-0.055,0.038,-0.049,0.11,0.048,-0.11,0.086,-0.00087,0.017,-0.022,0.012,0.066,0.00074,-0.12,0.019,-0.0057,0.025,0.012,0.035,0.015,0.056,-0.077,-0.017,-0.0099,-0.012,-0.037,-0.0043,0.089,0.028,-0.023,0.049,-0.077,-0.11,-0.073,0.027,-0.043,0.085,0.024,0.094,0.046,0.072,0.037,0.035,0.045,0.097,-0.054
"33","000001",0.14,-0.022,-0.11,0.18,0.2,0.094,0.16,0.024,0.11,0.026,0.083,0.073,-0.0029,-0.065,-0.019,-0.037,0.13,0.068,0.13,0.13,0.13,0.13,0.12,0.1,0.069,0.12,0.015,-0.08,-0.093,0.025,0.15,0.17,-0.01,0.025,0.016,0.096,-0.048,0.017,-0.15,0.14,0.096,0.11,0.088,0.057,-0.021,0.088,0.023,0.03,-0.035,0.17,0.12,0.024,0.002,-0.0027,0.19,0.084,-0.094,-0.092,-0.014,0.031,0.016,0.14,0.1,0.12,0.16,0.085,0.025,0.1,0.079,0.1,0.11
"34","399001",0.14,-0.0067,-0.12,0.17,0.2,0.083,0.19,0.053,0.11,0.038,0.093,0.098,-0.02,-0.052,-0.012,-0.026,0.14,0.085,0.15,0.13,0.16,0.13,0.12,0.11,0.071,0.12,0.035,-0.076,-0.084,0.04,0.16,0.15,0.017,0.018,0.0038,0.1,-0.024,0.032,-0.16,0.14,0.11,0.11,0.08,0.057,-0.028,0.075,0.035,0.028,-0.041,0.13,0.12,0.039,0.02,-0.021,0.14,0.098,-0.081,-0.08,-0.01,0.026,0.0097,0.1,0.082,0.097,0.15,0.075,0.043,0.096,0.13,0.12,0.1
"35","IMOEX",0.026,0.027,0.037,0.046,0.013,0.002,0.05,0.024,0.16,-0.036,0.019,0.0048,0.0034,0.11,-0.00061,-0.006,0.021,-0.051,-0.046,0.017,-0.0087,0.035,0.054,0.03,0.016,0.055,-0.00011,0.026,0.047,0.0089,-0.0058,0.084,0.0026,-0.0043,-0.0058,0.015,0.043,-0.031,-0.04,-0.0027,-0.04,0.055,0.0091,-0.02,0.067,0.05,-0.046,-0.031,0.035,-0.026,0.019,-0.011,-0.012,0.053,0.063,0.031,-0.019,-0.038,-0.12,0.024,-0.013,-0.0091,-0.01,0.026,0.0067,0.081,0.11,0.038,-0.021,0.097,-0.007
