"","rowname","AAVE","ADA","ALGO","AMP1","ANKR","AR","ATOM1","AVAX","BAT","BCH","BNB","BNT","BSV","BTC","BTG","BTT1","CAKE","CCXX","CEL","CELO","CHZ","COMP","CRO","CRV","CTC1","DAI1","DASH","DCR","DGB","DOGE","DOT1","EGLD","ENJ","EOS","ETC","ETH","FIL","FTM","FTT1","HBAR","HEX","HNT1","HOT1","ICX","IOST","KDA","KSM","LINK","LRC","LTC","LUNA1","MANA","MATIC","MIOTA","MKR","NANO","NEO","OMG","ONE2","ONT","QNT","QTUM","RUNE","RVN","SAND","SC","SHIB","SNX","SOL1","SRM","STX1","SUSHI","TFUEL","THETA","TRX","TUSD","UNI3","USDC","USDT","VET","WAVES","WAXP","XDC","XEM","XLM","XMR","XRP","XTZ","YFI","ZEC","ZEN","ZIL","ZRX"
"22","QCOM",0.01,0.12,0.18,0.016,0.068,0.01,0.17,0.056,0.26,0.26,0.22,0.16,0.14,0.3,0.14,0.15,0.046,-0.18,0.056,0.0019,0.25,0.074,0.24,0.057,0.099,0.039,0.11,0.21,0.082,0.16,0.066,-0.04,0.24,0.22,0.21,0.23,0.028,0.15,0.22,0.19,0.097,0.039,0.19,0.2,0.18,0.0075,0.059,0.23,0.057,0.23,0.05,0.19,0.23,0.28,0.24,0.2,0.13,0.1,0.17,0.21,0.089,0.2,0.046,0.26,0.049,0.24,NA,0.17,0.12,0.11,0.03,0.069,0.11,0.14,0.062,-0.16,-0.06,-0.14,-0.15,0.13,0.054,0.14,0.046,0.17,0.11,0.2,0.096,0.3,0.027,0.18,0.15,0.063,0.2
"23","SAP",0.1,0.15,0.21,-0.063,0.14,0.085,0.2,-0.051,0.26,0.25,0.2,0.15,0.14,0.26,0.19,0.22,-0.052,-0.043,0.1,0.072,0.23,0.023,0.32,-0.039,0.055,9e-04,0.15,0.2,0.061,0.1,0.032,0.062,0.27,0.22,0.2,0.27,0.07,0.21,0.23,0.23,0.2,0.044,0.28,0.22,0.2,0.044,-0.025,0.23,0.16,0.24,0.11,0.24,0.28,0.24,0.24,0.2,0.24,0.14,0.21,0.27,0.069,0.25,0.082,0.29,-0.0011,0.23,NA,0.14,0.12,0.098,0.11,-0.052,0.081,0.19,0.12,-0.2,0.077,-0.18,-0.19,0.13,0.099,0.16,0.03,0.18,0.12,0.24,0.11,0.33,0.089,0.24,0.17,0.11,0.21
"24","SHOP",0.005,0.16,0.13,0.0026,0.067,0.03,0.11,-0.0054,0.15,0.17,0.17,0.14,0.081,0.24,0.14,0.13,-0.023,0.018,0.064,0.038,0.18,0.034,0.2,0.0063,0.042,-0.046,0.15,0.18,0.089,0.12,0.06,0.041,0.11,0.18,0.14,0.23,0.022,0.11,0.19,0.12,0.065,0.11,0.12,0.18,0.16,0.0052,0.011,0.17,0.05,0.25,0.028,0.11,0.11,0.19,0.17,0.18,0.12,0.18,0.082,0.21,0.019,0.22,0.11,0.17,-0.025,0.22,NA,0.14,0.083,0.049,0.1,0.052,0.029,0.075,0.13,-0.063,0.012,-0.066,-0.051,0.11,0.096,0.077,0.046,0.23,0.13,0.23,0.19,0.17,0.045,0.19,0.18,-0.021,0.09
"25","SNOW",-0.4,-0.011,0.029,0.44,-0.069,-0.18,-0.027,0.81,0.0012,-0.03,-0.0051,-0.011,-0.0045,0.13,0.02,-0.0012,0.76,-0.16,0.26,-0.14,-0.079,0.46,0.025,0.71,0.076,-0.064,-0.019,0.1,-0.05,0.033,0.02,0.02,-0.02,-0.018,0.0033,0.022,0.16,-0.082,0.21,-0.035,0.32,0.051,0.16,-0.027,-0.025,0.019,-0.12,-0.033,-0.1,0.024,0.15,-0.085,-0.17,-0.042,-0.27,-0.0043,-0.055,0.012,-0.048,-0.043,-0.2,0.00054,-0.098,-0.029,0.58,0.03,NA,-0.015,0.084,0.2,-0.0058,0.68,0.073,0.068,-0.043,0.012,-0.73,-0.021,-0.014,0.013,0.04,-0.039,-0.11,0.19,0.081,-0.025,0.0027,-0.018,-0.12,-0.048,-0.058,0.073,-0.026
"26","SONY",-0.074,0.13,0.16,-0.0046,0.11,0.03,0.17,0.098,0.24,0.2,0.23,-0.016,0.16,0.28,0.17,0.22,0.11,0.028,0.11,-0.13,0.25,0.079,0.29,0.066,0.13,-0.072,0.1,0.23,0.1,0.067,0.028,0.0017,0.28,0.23,0.17,0.21,0.013,0.097,0.24,0.18,0.12,0.02,0.29,0.25,0.19,-0.073,-0.03,0.14,0.07,0.19,0.098,0.16,0.21,0.26,0.21,0.22,0.18,0.027,0.15,0.25,-0.0041,0.22,0.028,0.29,0.071,0.18,NA,0.19,0.087,0.072,0.12,0.08,0.032,0.059,0.13,-0.2,-0.06,-0.2,-0.21,0.11,0.09,0.096,-0.051,0.12,0.12,0.15,0.11,0.27,-6e-04,0.11,0.19,0.092,0.14
"27","SQ",-0.03,0.22,0.18,0.016,0.076,0.04,0.16,0.044,0.19,0.23,0.12,0.21,0.11,0.26,0.22,0.14,0.028,-0.039,-0.061,0.091,0.17,0.057,0.26,0.041,0.067,-0.044,0.16,0.21,0.12,0.22,0.02,0.1,0.13,0.21,0.21,0.31,0.071,0.15,0.21,0.12,0.09,0.16,0.1,0.2,0.15,0.075,0.0092,0.19,0.0022,0.27,0.036,0.13,0.15,0.23,0.13,0.23,0.17,0.21,0.2,0.24,0.023,0.21,0.12,0.21,0.029,0.23,NA,0.094,0.13,0.093,0.08,0.08,0.035,0.15,0.14,-0.11,0.00082,-0.11,-0.1,0.23,0.11,0.09,0.13,0.31,0.12,0.24,0.22,0.22,0.055,0.26,0.22,0.074,0.16
"28","TEAM",-0.089,0.13,0.1,0.008,0.021,0.029,0.071,0.04,0.12,0.11,0.13,0.11,0.058,0.21,0.11,0.092,0.041,-0.025,-0.0068,-0.024,0.12,-0.013,0.17,0.072,-0.019,-0.0044,0.11,0.14,0.13,0.18,0.03,0.0093,0.11,0.17,0.15,0.16,-0.068,0.079,0.18,0.047,0.15,-0.031,0.12,0.16,0.14,0.02,0.01,0.11,0.0079,0.16,0.056,0.095,0.13,0.17,0.13,0.19,0.11,0.095,0.12,0.16,-0.04,0.15,0.15,0.18,0.091,0.2,NA,0.1,0.037,0.1,0.092,0.049,-0.0051,0.0099,0.086,-0.05,-0.05,-0.081,-0.048,0.086,0.1,0.022,0.069,0.13,0.16,0.15,0.17,0.14,0.019,0.13,0.15,-0.019,0.14
"29","TSLA",0.014,0.096,0.08,-0.011,0.12,0.0069,0.13,0.082,0.21,0.11,0.098,0.15,0.081,0.2,0.13,0.087,0.065,0.00041,0.1,-0.073,0.13,0.12,0.23,0.096,0.11,-0.072,0.071,0.2,0.043,0.066,0.059,0.0022,0.14,0.11,0.094,0.14,0.02,0.23,0.18,0.035,0.096,0.063,0.098,0.3,0.069,-0.03,0.065,0.12,0.068,0.17,0.083,0.13,0.11,0.15,0.076,0.18,0.16,0.14,0.12,0.2,-0.0033,0.18,0.057,0.16,0.15,0.22,NA,0.21,0.15,0.2,0.052,0.13,0.094,0.14,-0.061,0.024,-0.062,-0.022,0.027,0.12,0.075,0.086,0.017,0.2,0.091,0.17,0.11,0.11,0.15,0.17,0.089,0.04,0.16
"30","TSM",-0.022,-0.042,0.043,0.012,0.027,-0.0049,0.056,0.078,0.14,0.14,0.046,-0.014,0.14,0.19,0.16,0.11,0.075,-0.13,0.043,0.062,0.13,0.042,0.3,0.056,0.098,0.024,0.016,0.096,-0.04,0.099,0.02,0.039,0.14,0.11,0.12,0.14,0.044,0.034,0.23,0.16,0.24,0.084,0.13,0.14,0.0086,0.029,-0.033,0.032,-0.0076,0.13,0.036,0.11,0.13,0.13,0.095,0.11,0.038,-0.00083,0.22,0.11,-0.025,0.078,-0.015,0.14,0.022,0.12,NA,-0.041,0.076,0.054,0.0052,0.056,0.027,0.076,0.07,-0.14,-0.05,-0.15,-0.12,-0.013,0.024,0.055,-0.04,0.12,0.011,0.092,0.076,0.16,0.016,0.15,0.12,-0.02,0.049
"31","TXN",-0.0016,0.14,0.21,0.024,0.1,0.031,0.2,0.043,0.32,0.3,0.24,0.077,0.18,0.26,0.2,0.2,0.029,-0.11,0.048,0.036,0.27,0.046,0.32,0.038,0.093,0.027,0.15,0.23,0.057,0.15,0.049,0.023,0.28,0.27,0.22,0.24,0.035,0.17,0.24,0.22,0.074,0.042,0.23,0.21,0.19,0.028,0.045,0.17,0.07,0.26,0.1,0.23,0.27,0.28,0.24,0.24,0.2,0.11,0.2,0.25,0.042,0.25,0.059,0.3,0.037,0.24,NA,0.12,0.11,0.077,0.13,0.035,0.044,0.14,0.13,-0.26,-0.036,-0.22,-0.24,0.089,0.085,0.18,0.0069,0.19,0.13,0.22,0.14,0.37,0.052,0.21,0.19,0.031,0.2
