"","rowname","ADA","ALGO","ANKR","ATOM1","BAT","BCH","BNB","BNT","BSV","BTC","BTG","BTT1","CEL","CHZ","CRO","DAI1","DASH","DCR","DGB","DOGE","ENJ","EOS","ETC","ETH","FIL","FTM","FTT1","HBAR","HEX","HOT1","ICX","IOST","KSM","LINK","LRC","LTC","LUNA1","MANA","MATIC","MIOTA","MKR","NANO","NEO","OMG","ONE2","ONT","QNT","QTUM","RUNE","RVN","SC","SNX","STX1","TFUEL","THETA","TRX","TUSD","USDC","USDT","VET","WAVES","WAXP","XEM","XLM","XMR","XRP","XTZ","ZEC","ZEN","ZIL","ZRX"
"13","GOOGL",0.241,0.568,0.813,0.614,0.112,0.848,0.0889,0.528,0.969,0.807,0.564,0.512,0.893,0.612,0.49,0.907,0.605,0.428,0.409,0.283,0.453,0.446,0.152,0.408,0.486,0.393,0.602,0.984,0.939,0.599,0.591,0.48,0.599,0.724,0.55,0.669,0.821,0.128,0.104,0.0609,0.543,0.66,0.777,0.578,0.515,0.973,0.593,0.803,0.854,0.627,0.92,0.779,0.787,0.706,0.908,0.546,0.98,0.629,0.836,0.698,0.932,0.315,0.238,0.114,0.217,0.389,0.201,0.0777,0.261,0.266,0.451
"14","IBM",0.527,0.391,0.111,0.0661,0.135,0.856,0.621,0.99,0.386,0.393,0.446,0.603,0.598,0.674,0.733,0.785,0.922,0.538,0.413,0.482,0.679,0.938,0.888,0.735,0.224,0.746,0.858,0.286,0.97,0.205,0.303,0.979,0.75,0.904,0.348,0.573,0.724,0.894,0.0828,0.911,0.798,0.93,0.722,0.755,0.329,0.841,0.341,0.922,0.514,0.303,0.349,0.318,0.543,0.503,0.969,0.446,0.45,0.223,0.667,0.468,0.902,0.395,0.54,0.384,0.823,0.919,0.631,0.92,0.962,0.778,0.893
"15","INTC",0.0237,0.171,0.846,0.0747,0.086,0.0205,0.168,0.104,0.0081,0.201,0.273,0.296,0.872,0.139,0.53,0.854,0.137,0.0793,0.337,0.191,0.274,0.0911,0.0531,0.0881,0.22,0.206,0.53,0.322,0.982,0.0913,0.22,0.084,0.996,0.646,0.276,0.0961,0.0453,0.0146,0.722,0.0939,0.153,0.0831,0.0661,0.322,0.0804,0.114,0.213,0.349,0.393,0.415,0.427,0.392,0.733,0.325,0.66,0.087,0.0317,0.122,0.862,0.199,0.737,0.201,0.183,0.0454,0.154,0.15,0.132,0.00897,0.833,0.0851,0.608
"16","INTU",0.17,0.542,0.264,0.138,0.213,0.219,0.0109,0.321,0.819,0.792,0.388,0.11,0.781,0.542,0.897,0.832,0.297,0.423,0.416,0.29,0.829,0.242,0.0799,0.198,0.186,0.13,0.395,0.362,0.847,0.58,0.944,0.376,0.562,0.228,0.134,0.0652,0.349,0.12,0.339,0.308,0.452,0.127,0.191,0.52,0.424,0.312,0.358,0.316,0.926,0.136,0.15,0.561,0.082,0.000158,0.474,0.106,0.252,0.95,0.46,0.276,0.495,0.138,0.0589,0.153,0.309,0.201,0.0441,0.0905,0.219,0.0861,0.309
"17","MSFT",0.164,0.453,0.704,0.678,0.243,0.333,0.256,0.432,0.765,0.556,0.606,0.101,0.684,0.445,0.79,0.882,0.584,0.706,0.601,0.617,0.436,0.54,0.312,0.318,0.622,0.673,0.625,0.99,0.83,0.439,0.545,0.986,0.876,0.715,0.75,0.513,0.405,0.0747,0.417,0.153,0.872,0.494,0.982,0.859,0.457,0.91,0.775,0.836,0.717,0.832,0.861,0.63,0.916,0.75,0.819,0.246,0.562,0.235,0.286,0.793,0.904,0.0348,0.0796,0.0541,0.677,0.161,0.115,0.158,0.264,0.273,0.529
"18","NFLX",0.806,0.194,0.105,0.212,0.507,0.65,0.891,0.88,0.881,0.219,0.493,0.9,0.149,0.889,0.317,0.798,0.894,0.837,0.701,0.52,0.915,0.879,0.556,0.987,0.876,0.907,0.73,0.447,0.551,0.333,0.377,0.161,0.24,0.682,0.291,0.745,0.256,0.436,0.243,0.596,0.357,0.816,0.12,0.549,0.0923,0.744,0.513,0.317,0.0743,0.898,0.771,0.692,0.745,0.598,0.333,0.946,0.833,0.9,0.153,0.755,0.641,0.925,1,0.995,0.581,0.606,0.539,0.49,0.196,0.143,0.786
"19","NOW",0.0885,0.153,0.56,0.516,0.471,0.441,0.398,0.472,0.481,0.887,0.174,0.504,0.621,0.144,0.945,0.671,0.45,0.804,0.526,0.578,0.97,0.143,0.251,0.273,0.755,0.67,0.555,0.829,0.992,0.947,0.517,0.331,0.726,0.638,0.981,0.194,0.412,0.329,0.0846,0.125,0.587,0.521,0.448,0.773,0.175,0.623,0.225,0.708,0.399,0.734,0.184,0.508,0.851,0.301,0.985,0.239,0.793,0.532,0.253,0.778,0.579,0.502,0.581,0.291,0.762,0.0579,0.193,0.168,0.291,0.639,0.415
"20","NVDA",0.317,0.721,0.441,0.926,0.282,0.671,0.329,0.529,0.364,0.693,0.938,0.82,0.919,0.742,0.171,0.693,0.768,0.626,0.902,0.75,0.939,0.82,0.706,0.674,0.707,0.711,0.902,0.518,0.844,0.815,0.417,0.615,0.582,0.592,0.626,0.736,0.697,0.542,0.272,0.287,0.726,0.925,0.831,0.676,0.202,0.679,0.609,0.807,0.268,0.278,0.938,0.769,0.894,0.767,0.372,0.902,0.189,0.404,0.267,0.667,0.0466,0.537,0.855,0.293,0.747,0.522,0.267,0.419,0.544,0.732,0.34
"21","ORCL",0.393,0.221,0.232,0.331,0.184,0.838,0.177,0.272,0.49,0.862,0.35,0.249,0.965,0.42,0.966,0.228,0.912,0.935,0.404,0.426,0.455,0.445,0.459,0.249,0.739,0.422,0.845,0.773,0.796,0.476,0.722,0.391,0.72,0.111,0.713,0.474,0.285,0.376,0.0619,0.648,0.27,0.539,0.952,0.651,0.846,0.882,0.291,0.773,0.569,0.979,0.874,0.94,0.86,0.941,0.612,0.225,0.643,0.631,0.944,0.98,0.34,0.983,0.867,0.432,0.474,0.44,0.188,0.813,0.218,0.338,0.824
"22","QCOM",0.0952,0.533,0.11,0.852,0.00672,0.514,0.199,0.123,0.345,0.305,0.0738,0.533,0.253,0.755,0.82,0.9,0.353,0.121,0.596,0.055,0.479,0.305,0.0558,0.198,0.332,0.42,0.595,0.909,0.818,0.602,0.489,0.324,0.883,0.516,0.709,0.501,0.937,0.0435,0.148,0.0182,0.27,0.0895,0.457,0.128,0.628,0.268,0.51,0.146,0.666,0.196,0.93,0.33,0.352,0.787,0.054,0.432,0.221,0.359,0.0476,0.195,0.247,0.294,0.346,0.0519,0.0215,0.0407,0.0055,0.0305,0.14,0.223,0.15
"23","SAP",0.825,0.827,0.287,0.941,0.587,0.863,0.657,0.612,0.924,0.436,0.319,0.481,0.553,0.838,0.58,0.542,0.662,0.931,0.177,0.862,0.71,0.693,0.7,0.884,0.371,0.503,0.181,0.779,0.725,0.907,0.417,0.39,0.58,0.716,0.133,0.985,0.721,0.695,0.149,0.767,0.572,0.59,0.252,0.352,0.608,0.792,0.329,0.566,0.503,0.147,0.677,0.611,0.671,0.561,0.119,0.451,0.389,0.7,0.441,0.368,0.0136,0.342,0.848,0.77,0.864,0.994,0.256,0.727,0.811,0.696,0.312
"24","SNOW",0.0563,0.0142,0.743,0.0513,0.698,0.175,0.00646,0.136,0.784,0.537,0.265,0.317,0.848,0.264,0.66,0.399,0.243,0.116,0.0549,0.502,0.267,0.104,0.0612,0.0825,0.695,0.495,0.475,0.958,0.905,0.63,0.544,0.596,0.995,0.698,0.257,0.0779,0.525,0.0528,0.838,0.338,0.621,0.175,0.347,0.217,0.112,0.752,0.368,0.385,0.737,0.196,0.0168,0.0727,0.919,0.352,0.92,0.173,0.686,0.452,0.346,0.382,0.731,0.0118,0.0234,0.0518,0.128,0.078,0.07,0.0487,0.0791,0.0962,0.0687
"25","SONY",0.895,0.376,0.857,0.105,0.379,0.983,0.945,0.407,0.31,0.891,0.941,0.551,0.738,0.961,0.704,0.428,0.271,0.73,0.946,0.837,0.628,0.119,0.638,0.147,0.564,0.868,0.714,0.815,0.884,0.346,0.206,0.64,0.978,0.904,0.158,0.428,0.83,0.389,0.79,0.549,0.447,0.423,0.84,0.789,0.629,0.999,0.363,0.999,0.795,0.72,0.973,0.817,0.781,0.143,0.406,0.473,0.134,0.309,0.232,0.746,0.313,0.131,0.0255,0.0887,0.125,0.199,0.33,0.196,0.0348,0.741,0.784
"26","SQ",0.132,0.893,0.0344,0.263,0.62,0.975,0.412,0.492,0.783,0.615,0.365,0.83,0.436,0.478,0.675,0.418,0.27,0.467,0.53,0.496,0.534,0.452,0.278,0.479,0.96,0.575,0.428,0.794,0.747,0.185,0.653,0.866,0.586,0.64,0.935,0.29,0.959,0.3,0.266,0.338,0.598,0.18,0.611,0.96,0.548,0.663,0.75,0.939,0.921,0.878,0.402,0.013,0.975,0.568,0.434,0.265,0.54,0.836,0.508,0.572,0.275,0.923,0.137,0.0591,0.492,0.178,0.19,0.164,0.0527,0.144,0.34
"27","TEAM",0.0605,0.718,0.362,0.631,0.278,0.0925,0.534,0.464,0.796,0.383,0.0788,0.154,0.265,0.218,0.649,0.425,0.304,0.362,0.947,0.495,0.753,0.0952,0.182,0.153,0.992,0.278,0.43,0.337,0.853,0.72,0.291,0.167,0.988,0.389,0.57,0.169,0.771,0.484,0.453,0.142,0.959,0.494,0.377,0.355,0.686,0.702,0.52,0.42,0.804,0.568,0.172,0.391,0.968,0.482,0.55,0.114,0.936,0.829,0.706,0.799,0.303,0.29,0.113,0.228,0.294,0.0646,0.275,0.074,0.00662,0.604,0.716
"28","TSLA",0.024,0.0125,0.124,0.685,0.232,0.0461,0.679,0.0527,0.0841,0.0973,0.0354,0.146,0.987,0.011,0.563,0.195,0.257,0.308,0.135,0.281,0.579,0.0403,0.0818,0.115,0.916,0.218,0.849,0.0155,0.34,0.202,0.927,0.0803,0.814,0.069,0.469,0.207,0.0252,0.0405,0.389,0.0645,0.219,0.551,0.076,0.11,0.0165,0.239,0.374,0.0497,0.00483,0.946,0.0961,0.0639,0.302,0.536,0.205,0.0155,0.105,0.271,0.469,0.0735,0.113,0.157,0.205,0.0511,0.0684,0.00504,0.0108,0.13,0.128,0.0197,0.032
"29","TSM",0.657,0.34,0.705,0.797,0.119,0.928,0.453,0.78,0.273,0.123,0.672,0.791,0.468,0.509,0.92,0.424,0.722,0.343,0.938,0.735,0.832,0.966,0.453,0.554,0.307,0.467,0.616,0.238,0.636,0.537,0.517,0.814,0.91,0.0224,0.591,0.936,0.546,0.769,0.152,0.575,0.583,0.5,0.876,0.446,0.304,0.97,0.0571,0.322,0.958,0.695,0.966,0.363,0.2,0.29,0.902,0.995,0.242,0.226,0.075,0.751,0.87,0.459,0.86,0.199,0.97,0.223,0.262,0.694,0.941,0.525,0.783
"30","TXN",0.0808,0.502,0.495,0.146,0.192,0.205,0.223,0.265,0.0235,0.907,0.644,0.808,0.539,0.641,0.691,0.384,0.843,0.933,0.424,0.146,0.613,0.322,0.301,0.48,0.498,0.114,0.00463,0.721,0.73,0.619,0.894,0.133,0.702,0.524,0.987,0.171,0.464,0.522,0.438,0.335,0.724,0.291,0.621,0.671,0.29,0.376,0.938,0.73,0.819,0.524,0.804,0.127,0.597,0.957,0.543,0.514,0.39,0.722,0.62,0.688,0.808,0.412,0.256,0.239,0.293,0.164,0.644,0.23,0.128,0.314,0.549
